n,contrast,geometry,variant,average,rhs,jacobi_setup,jacobi_solve,jacobi_total,jacobi_iterations,amg0_setup,amg0_solve,amg0_total,amg0_iterations,accepted,max_residual,winner,jacobi_wins,repeats,min_paired_ratio,max_paired_ratio,stable
128,1000.0,connected,centered,arithmetic,dipole_x,7.74000000092201e-05,0.05348229999981413,0.05356080000001384,589.0,0.024946199999249075,0.022696499999256048,0.04763790000015433,14.0,True,9.193781446403434e-10,amg0,0,5,1.0357003445807715,1.2063296161014228,True
128,1000.0,connected,centered,arithmetic,dipole_y,7.580000055895653e-05,0.0536670999999842,0.05374019999999291,605.0,0.024066599999969185,0.021755200000370678,0.04601670000010927,14.0,True,9.981650865034545e-10,amg0,0,5,1.0978963807842772,1.3142062882228034,True
128,1000.0,connected,centered,arithmetic,ones,7.919999916339293e-05,0.0525857000002361,0.05267329999969661,608.0,0.023564700000861194,0.02298960000007355,0.046140300000843126,14.0,True,1.5338059864787499e-09,amg0,0,5,1.067862067836217,1.1800458991108718,True
128,1000.0,connected,centered,arithmetic,random,8.600000001024455e-05,0.05075589999978547,0.05082849999962491,578.0,0.02460849999988568,0.019114400000034948,0.04398800000035408,12.0,True,9.357024475435316e-10,amg0,0,5,1.13831670441691,1.248431390349569,True
128,1000.0,connected,centered,harmonic,dipole_x,7.639999967068434e-05,0.051215899999988324,0.05129229999965901,585.0,0.02340690000073664,0.02204040000015084,0.045314699999835284,14.0,True,9.431822207453842e-10,amg0,1,5,0.8644861242839346,1.1518043272293976,False
128,1000.0,connected,centered,harmonic,dipole_y,8.25000006443588e-05,0.05438199999935023,0.05446399999982532,600.0,0.02305239999986952,0.02173919999950158,0.0447915999993711,14.0,True,9.533683839628798e-10,amg0,0,5,1.1515708289937268,1.348037234690953,True
128,1000.0,connected,centered,harmonic,ones,7.610000011482043e-05,0.05221129999972618,0.05228720000013709,599.0,0.02378509999925882,0.021710600000005797,0.045451599999069,14.0,True,1.5229944446563914e-09,amg0,0,5,1.085715249622362,1.2154863635655184,True
128,1000.0,connected,centered,harmonic,random,7.519999962823931e-05,0.05110370000056719,0.05117750000135857,577.0,0.022803900000326394,0.019621100000222214,0.04242500000054861,12.0,True,8.785575928690151e-10,amg0,0,5,1.1810536240127962,1.3108319531031936,True
128,1000.0,connected,shift_x,arithmetic,dipole_x,9.870000030787196e-05,0.05793900000026042,0.058069800000339455,590.0,0.025933099999747355,0.023588000000017928,0.04946920000020327,13.0,True,9.147381255022884e-10,amg0,0,5,1.1034816775898177,1.1786506884241745,True
128,1000.0,connected,shift_x,arithmetic,dipole_y,7.949999962875154e-05,0.05895260000033886,0.05903209999996761,606.0,0.026192600000285893,0.024831699999595003,0.051001199999518576,14.0,True,9.157119695430457e-10,amg0,0,5,1.1387928127305844,1.226663617641419,True
128,1000.0,connected,shift_x,arithmetic,ones,9.270000009564683e-05,0.05748070000026928,0.057575200000428595,609.0,0.026117299999896204,0.022769899999730114,0.04976339999939228,13.0,True,1.488814685406063e-09,amg0,0,5,1.1100864374989448,1.2530494509384533,True
128,1000.0,connected,shift_x,arithmetic,random,8.549999984097667e-05,0.056346299999859184,0.05644250000023021,585.0,0.027101699999548146,0.021278199999869685,0.04926679999971384,12.0,True,9.327654222058994e-10,amg0,0,5,1.096416370681752,1.197276761482684,True
128,1000.0,connected,shift_x,harmonic,dipole_x,7.840000034775585e-05,0.052724099999977625,0.05280250000032538,585.0,0.0242459000000963,0.021048200000223005,0.04499329999998736,13.0,True,9.571213408655863e-10,amg0,0,5,1.0872354990198656,1.227704320990217,True
128,1000.0,connected,shift_x,harmonic,dipole_y,7.950000053824624e-05,0.055622300000322866,0.055709500000375556,604.0,0.023897300000498944,0.020768699999280216,0.045036000000436616,13.0,True,9.28011702158318e-10,amg0,0,5,1.143836686742451,1.3396823853909439,True
128,1000.0,connected,shift_x,harmonic,ones,8.340000022144523e-05,0.05303309999999328,0.05310879999979079,595.0,0.02424440000049799,0.020238300000528398,0.04512420000082784,13.0,True,1.4727564180288683e-09,amg0,0,5,1.1529401075071162,1.309596246156173,True
128,1000.0,connected,shift_x,harmonic,random,7.530000038968865e-05,0.05138269999952172,0.05145670000001701,577.0,0.02387150000049587,0.019307300000036776,0.04328270000041812,12.0,True,9.305199660030066e-10,amg0,0,5,1.0928815001320449,1.264359663320023,True
128,1000.0,connected,transpose,arithmetic,dipole_x,0.00011780000022554304,0.05278120000002673,0.05285530000037397,589.0,0.024873599999409635,0.022716399999808345,0.04758999999921798,14.0,True,9.178264483422089e-10,amg0,0,5,1.063745206633075,1.1593422988318691,True
128,1000.0,connected,transpose,arithmetic,dipole_y,0.00012869999955000822,0.05330690000027971,0.053384900000310154,605.0,0.02495290000024397,0.02216690000022936,0.04673269999966578,14.0,True,1.0008735461071778e-09,amg0,0,5,1.0900728350220998,1.2189870786493773,True
128,1000.0,connected,transpose,arithmetic,ones,8.010000055946875e-05,0.05536209999991115,0.05543969999962428,608.0,0.02476329999990412,0.022783700000218232,0.0473082999997132,14.0,True,1.4568808840087441e-09,amg0,0,5,1.054744414024674,1.2303175938240265,True
128,1000.0,connected,transpose,arithmetic,random,0.00011919999997189734,0.05041639999944891,0.050570999999763444,578.0,0.024083900000732683,0.01928829999997106,0.043186200000491226,12.0,True,9.360284500119799e-10,amg0,0,5,1.0575481944391167,1.2516498796132476,True
128,1000.0,connected,transpose,harmonic,dipole_x,8.319999960804125e-05,0.052804200000537094,0.052972900000895606,585.0,0.025604600000406208,0.02312869999968825,0.04873330000009446,14.0,True,9.44020224636713e-10,amg0,1,5,0.9349356875893515,1.1442750645040072,False
128,1000.0,connected,transpose,harmonic,dipole_y,8.84000000951346e-05,0.05886300000020128,0.059065600000394625,600.0,0.024816699999973935,0.02125510000041686,0.046940200000790355,13.0,True,9.544792159912905e-10,amg0,0,5,1.1803936191557356,1.2812712658631715,True
128,1000.0,connected,transpose,harmonic,ones,0.00010130000009667128,0.052723100000548584,0.05284790000041539,599.0,0.025166800000079093,0.022914500000297267,0.04956399999991845,14.0,True,1.5851765805078707e-09,amg0,0,5,1.0469242777273366,1.1900546581383655,True
128,1000.0,connected,transpose,harmonic,random,0.0001222000000780099,0.052839099999800965,0.05298880000009376,577.0,0.024264399999992747,0.01944629999979952,0.04366509999999835,12.0,True,8.787341775953878e-10,amg0,0,5,1.0933445348780473,1.320097743952626,True
128,1000.0,disconnected,centered,arithmetic,dipole_x,8.750000051804818e-05,0.02423079999971378,0.02431830000023183,267.0,0.0222819000000527,0.025016499999765074,0.0478240000002188,16.0,True,9.90014285829128e-10,jacobi,5,5,0.4723415551333136,0.6023410548073046,True
128,1000.0,disconnected,centered,arithmetic,dipole_y,9.069999941857532e-05,0.030668600000353763,0.030739900000298803,327.0,0.022291799999948125,0.025274800000261166,0.04827110000042012,16.0,True,9.968340188268084e-10,jacobi,5,5,0.5656394613005857,0.7511637397816017,True
128,1000.0,disconnected,centered,arithmetic,ones,8.990000060293823e-05,0.03327679999983957,0.03335209999931976,368.0,0.022578499999326596,0.025228700000297977,0.04678380000041216,16.0,True,1.3868394842897765e-09,jacobi,5,5,0.6232175960073485,0.7151118162882835,True
128,1000.0,disconnected,centered,arithmetic,random,7.689999983995222e-05,0.0574823999995715,0.05755929999941145,635.0,0.023085599999831175,0.022332100000312494,0.04541770000014367,14.0,True,9.28053873396141e-10,amg0,0,5,1.1576792473215318,1.5724700835056198,True
128,1000.0,disconnected,centered,harmonic,dipole_x,8.549999984097667e-05,0.026235900000756374,0.026333500000873755,266.0,0.026548299999376468,0.025801800000408548,0.05241290000049048,15.0,True,9.11683285170616e-10,jacobi,5,5,0.4682446383489362,0.5297262423838608,True
128,1000.0,disconnected,centered,harmonic,dipole_y,8.140000045386842e-05,0.031501899999966554,0.03158330000042042,328.0,0.023676800000430376,0.027693800000633928,0.052251100000830775,16.0,True,9.96971993990198e-10,jacobi,5,5,0.559369469113769,0.6319331076207229,True
128,1000.0,disconnected,centered,harmonic,ones,7.989999994606478e-05,0.03459799999927782,0.03467539999928704,366.0,0.023526800000581716,0.02636770000026445,0.05030120000083116,16.0,True,1.2787223496323214e-09,jacobi,5,5,0.6451198463615438,0.7531332549864213,True
128,1000.0,disconnected,centered,harmonic,random,7.869999990361976e-05,0.05923919999986538,0.05932109999957902,634.0,0.02481140000054438,0.023325600000134727,0.04813700000067911,14.0,True,9.70628911533691e-10,amg0,0,5,1.1284946806885587,1.4171702763352576,True
128,1000.0,disconnected,shift_x,arithmetic,dipole_x,7.480000022042077e-05,0.03888089999963995,0.038954699999521836,449.0,0.02522339999995893,0.02343639999980951,0.04853079999975307,15.0,True,9.758964763523737e-10,jacobi,5,5,0.7792619617754345,0.8657811875126203,True
