n,contrast,geometry,average,rhs,jacobi_setup,jacobi_solve,jacobi_total,jacobi_iterations,amg0_setup,amg0_solve,amg0_total,amg0_iterations,accepted,max_residual,winner,jacobi_wins,repeats,min_paired_ratio,max_paired_ratio,stable
128,1000.0,components1_169,harmonic,dipole_x,8.119999984046444e-05,0.054981799999950454,0.05506409999998141,599.0,0.023580799999763258,0.028314099999988684,0.05232329999944341,15.0,True,9.682230710767563e-10,amg0,1,5,0.9546241423805072,1.2245677433025621,False
128,1000.0,components1_169,harmonic,dipole_y,9.240000053978292e-05,0.06700329999966925,0.067113099999915,602.0,0.024145899999894027,0.025329600000077335,0.04947549999997136,15.0,True,9.245593531432503e-10,amg0,1,5,0.8888158724783424,1.5054173169018776,False
128,1000.0,components1_169,harmonic,ones,8.470000011584489e-05,0.056919599999673665,0.05700230000002193,600.0,0.02352009999958682,0.02729399999952875,0.05154020000009041,15.0,True,1.6152353538765359e-09,amg0,1,5,0.9956281909521314,1.8098668452407158,False
128,1000.0,components1_169,harmonic,random,8.690000049682567e-05,0.05867989999933343,0.058772599999429076,588.0,0.02413410000008298,0.02202199999919685,0.04615609999927983,13.0,True,9.798849180935457e-10,amg0,1,5,0.9295524050968221,1.39524611564624,False
128,1000.0,components1_29,harmonic,dipole_x,0.00012719999995169928,0.05507759999909467,0.05521249999947031,591.0,0.023423900000125286,0.023005199999715842,0.04801720000068599,14.0,True,9.959280323531551e-10,amg0,0,5,1.0910699175445182,1.2876050791730291,True
128,1000.0,components1_29,harmonic,dipole_y,0.00011949999952776125,0.053954699999849254,0.05408239999997022,595.0,0.023071700000400597,0.021882200000618468,0.04661200000009558,14.0,True,9.729894967443757e-10,amg0,0,5,1.0861730884887895,1.37704147982891,True
128,1000.0,components1_29,harmonic,ones,7.730000015726546e-05,0.05492399999911868,0.05499859999963519,592.0,0.026527200000600715,0.02339739999933954,0.04924600000049395,14.0,True,1.563636166452124e-09,amg0,0,5,1.0187701805888596,1.1770065524160558,True
128,1000.0,components1_29,harmonic,random,0.00011059999997087289,0.05446550000033312,0.05453690000013012,586.0,0.023367900000266673,0.022481599999991886,0.04548109999996086,13.0,True,9.63560855224999e-10,amg0,1,5,0.9626686615390354,1.2354976697964264,False
128,1000.0,components1_32,harmonic,dipole_x,7.529999948019395e-05,0.05579829999987851,0.055871799999295035,597.0,0.024905099999159575,0.023727400000097987,0.051589199998488766,15.0,True,9.975792954582523e-10,amg0,1,5,0.9981491869583727,1.244148569975839,False
128,1000.0,components1_32,harmonic,dipole_y,7.670000013604295e-05,0.05234229999950912,0.05243259999951988,599.0,0.02382139999917854,0.025572200000169687,0.05109389999870473,15.0,True,1.0010985427066962e-09,amg0,1,5,0.9855344767551786,1.2232808836278029,False
128,1000.0,components1_32,harmonic,ones,8.299999990413198e-05,0.05395510000016657,0.054030499999498716,598.0,0.02232910000020638,0.02782440000009956,0.051138199999513745,15.0,True,1.5371158610247729e-09,amg0,2,5,0.953043254311354,1.1914405925582667,False
128,1000.0,components1_32,harmonic,random,7.610000011482043e-05,0.05373779999990802,0.05381929999930435,586.0,0.022857200000544253,0.019045899999582616,0.04298699999890232,12.0,True,9.90758989932171e-10,amg0,0,5,1.1653014681328628,1.4217391304785694,True
128,1000.0,components1_77,harmonic,dipole_x,7.659999937459361e-05,0.05290270000023156,0.052980500000558095,592.0,0.022945400000025984,0.022876399999404384,0.04593840000052296,15.0,True,9.630439373794196e-10,amg0,0,5,1.0817453698821848,1.27342997614092,True
128,1000.0,components1_77,harmonic,dipole_y,7.439999990310753e-05,0.05257869999968534,0.052651399999376736,596.0,0.02242579999983718,0.022946799999772338,0.04504559999986668,15.0,True,9.523012567578527e-10,amg0,0,5,1.0699555302270927,1.1861622398248157,True
128,1000.0,components1_77,harmonic,ones,7.709999954386149e-05,0.05233769999995275,0.0524174000001949,594.0,0.022283799999968323,0.021901600000092003,0.04482860000007349,14.0,True,1.5379345877330287e-09,amg0,0,5,1.1480350339351533,1.2501059326668706,True
128,1000.0,components1_77,harmonic,random,7.329999971261714e-05,0.051217600000200036,0.051287799999954586,580.0,0.022389599999769416,0.01973069999985455,0.04181179999886808,13.0,True,9.691273993527299e-10,amg0,0,5,1.1210847662647219,1.3223558525754195,True
