n,motif,shift,rhs,accepted,max_residual,jacobi_setup,jacobi_solve,jacobi_total,jacobi_iterations,amg0_setup,amg0_solve,amg0_total,amg0_iterations,rs025_setup,rs025_solve,rs025_total,rs025_iterations,winner,winner_repeats,repeats,stable
128,three_by_six,0,odd_x,True,9.219999774846857e-10,0.00012070000047970098,0.023853099999541882,0.023954799999046372,266.0,0.02513560000079451,0.03062060000047495,0.05551579999882961,16.0,0.016038200001275982,0.018132600000171806,0.035427100001470535,11.0,jacobi,7,7,True
128,three_by_six,0,random,True,9.392076385125561e-10,0.00013670000043930486,0.059648500000548665,0.05973000000085449,636.0,0.02442950000113342,0.02380489999995916,0.048676400001568254,14.0,0.017545199998494354,0.017535299999508425,0.03445519999877433,10.0,rs025,7,7,True
128,three_by_six,1,odd_x,True,9.608675664235599e-10,0.00012380000043776818,0.043275899999571266,0.043399700000009034,447.0,0.022265800000241143,0.028032700000039767,0.05124029999933555,16.0,0.015447300000232644,0.019574699999793665,0.034763999999995576,11.0,rs025,7,7,True
128,three_by_six,1,random,True,9.570878672347944e-10,0.00014089999967836775,0.061480399999709334,0.06158610000056797,639.0,0.025161800000205403,0.026953900000080466,0.05184399999961897,14.0,0.01719740000044112,0.019134099999064347,0.03491380000014033,10.0,rs025,7,7,True
128,two_by_eight,0,odd_x,True,9.11683285170616e-10,0.0001685999995970633,0.024157800000466523,0.024346000000150525,266.0,0.025045000000318396,0.02770799999962037,0.051803900001687,15.0,0.01638249999996333,0.020736999998916872,0.036809199998970143,11.0,jacobi,7,7,True
128,two_by_eight,0,random,True,9.70628911533691e-10,0.0001675000003160676,0.06871789999968314,0.06890659999953641,634.0,0.022984100000030594,0.022598400000788388,0.047754600002008374,14.0,0.015314700000089942,0.01738900000054855,0.034118499999749474,10.0,rs025,7,7,True
128,two_by_eight,1,odd_x,True,9.092451541869095e-10,0.00016009999853849877,0.042199100000289036,0.04228369999873394,450.0,0.024457899999106303,0.02428929999950924,0.04997489999914251,15.0,0.016042600000218954,0.019025199999305187,0.03415090000089549,11.0,rs025,7,7,True
128,two_by_eight,1,random,True,9.301557341646773e-10,0.0001514999985374743,0.06584430000111752,0.06599579999965499,634.0,0.024245099999461672,0.02348139999958221,0.04798989999835612,13.0,0.018948400000226684,0.019408399999520043,0.03705179999997199,10.0,rs025,7,7,True
160,three_by_six,0,odd_x,True,9.405536959384857e-10,0.00014420000115933362,0.054669099999955506,0.05486910000036005,351.0,0.0400539000002027,0.04344409999976051,0.08421290000114823,16.0,0.03070540000044275,0.035001700000066194,0.06550210000023071,12.0,jacobi,7,7,True
160,three_by_six,0,random,True,9.414660582528056e-10,0.0002282999994349666,0.1268565000009403,0.12709150000227964,791.0,0.03541570000015781,0.04484090000005381,0.07831140000052983,15.0,0.033099700000093435,0.03208400000039546,0.0651837000004889,10.0,rs025,6,7,False
160,three_by_six,1,odd_x,True,8.824538219869826e-10,0.00017160000061267056,0.08941369999956805,0.08964190000006056,562.0,0.0367671000003611,0.05226739999852725,0.08903449999888835,17.0,0.03460180000001856,0.033528299998579314,0.06968090000009397,12.0,rs025,7,7,True
160,three_by_six,1,random,True,9.728565115343825e-10,0.00021670000023732428,0.12352069999906234,0.12374889999955485,789.0,0.03464440000061586,0.03866989999914949,0.07293879999997444,15.0,0.034007300000666874,0.029780100001516985,0.06451350000133971,10.0,rs025,6,7,False
160,two_by_eight,0,odd_x,True,9.728625606724196e-10,0.0001874999998108251,0.05677230000037525,0.05688689999988128,335.0,0.042806400000699796,0.04067829999985406,0.08949030000076164,15.0,0.031185700001515215,0.03194749999966007,0.06379000000015367,11.0,jacobi,5,7,False
160,two_by_eight,0,random,True,9.917853267122325e-10,0.00024029999985941686,0.1348163000002387,0.1349545000011858,784.0,0.03557059999911871,0.03680979999990086,0.07371029999740131,14.0,0.031092399998669862,0.029236200000013923,0.061708099998213584,10.0,rs025,7,7,True
160,two_by_eight,1,odd_x,True,9.823051681408285e-10,0.00021949999973003287,0.08163559999957215,0.08176970000022266,563.0,0.036213600000337465,0.04270150000047579,0.07891510000081325,16.0,0.03276920000098471,0.03612740000062331,0.07452709999961371,12.0,rs025,6,7,False
160,two_by_eight,1,random,True,9.85584333997345e-10,0.00020039999981236178,0.11672440000074857,0.11693970000123954,788.0,0.03861789999973553,0.04403489999822341,0.0768376999967586,14.0,0.03195080000114103,0.027571099999477156,0.06209810000109428,10.0,rs025,7,7,True
192,three_by_six,0,odd_x,True,9.925992214146663e-10,0.0003394999985175673,0.0951282000005449,0.09545249999973748,424.0,0.05266170000140846,0.06983260000015434,0.12712079999982961,18.0,0.03556079999907524,0.05129740000120364,0.09039049999773852,12.0,rs025,6,7,False
192,three_by_six,0,random,True,9.931286841477768e-10,0.0003768999995372724,0.2424183000002813,0.2427536000013788,951.0,0.04656559999966703,0.06341229999998177,0.11007699999936449,16.0,0.03932070000155363,0.04081109999970067,0.0798971000003803,10.0,rs025,7,7,True
192,three_by_six,1,odd_x,True,9.86997938544521e-10,0.00038970000059634913,0.16079459999855317,0.16118429999914952,677.0,0.052107400000750204,0.06592909999926633,0.1204264999996667,16.0,0.03970829999889247,0.05050919999848702,0.09368009999889182,13.0,rs025,7,7,True
192,three_by_six,1,random,True,9.485350330749907e-10,0.00036589999945135787,0.2361416999992798,0.23639989999901445,952.0,0.04815429999871412,0.05303230000026815,0.10518009999941569,14.0,0.0350525000012567,0.042985699999917415,0.07909600000130013,11.0,rs025,7,7,True
192,two_by_eight,0,odd_x,True,9.076303314903551e-10,0.00038780000068072695,0.08536709999862069,0.08583509999698435,403.0,0.04807310000069265,0.06501559999924211,0.11911100000179431,17.0,0.036063800000192714,0.047451899999941816,0.08366119999845978,11.0,rs025,6,7,False
192,two_by_eight,0,random,True,9.941891616592456e-10,0.00032589999864285346,0.2342263999998977,0.23452659999929892,949.0,0.05166129999997793,0.06205390000104671,0.11449759999959497,15.0,0.04006690000096569,0.04275030000098923,0.08044470000095316,10.0,rs025,7,7,True
192,two_by_eight,1,odd_x,True,9.746160329003246e-10,0.00039029999970807694,0.15904709999995248,0.15947439999945345,677.0,0.054870500000106404,0.06877069999973173,0.11751269999876968,16.0,0.038308600000164006,0.046541900001102476,0.08663020000130928,12.0,rs025,6,7,False
192,two_by_eight,1,random,True,9.762198060529e-10,0.0004031999997096136,0.24402679999911925,0.24442999999882886,953.0,0.05746809999982361,0.05917559999943478,0.11943089999840595,14.0,0.03646339999977499,0.04437289999987115,0.07938219999959983,11.0,rs025,7,7,True
