n,geometry,shift,rhs,accepted,max_residual,jacobi_setup,jacobi_solve,jacobi_total,jacobi_iterations,amg0_setup,amg0_solve,amg0_total,amg0_iterations,amg025_setup,amg025_solve,amg025_total,amg025_iterations,rs025_setup,rs025_solve,rs025_total,rs025_iterations,winner,winner_repeats,repeats,stable
128,connected,0,odd_x,True,9.431822207453842e-10,0.00015220000022964086,0.057768699998632655,0.0579420999983995,585.0,0.030304999998406856,0.02553970000008121,0.05565830000159622,14.0,0.027551799999855575,0.08768860000054701,0.11563760000171897,52.0,0.022431700001106947,0.023656699999264674,0.04466140000113228,12.0,rs025,5,5,True
128,connected,0,random,True,8.785575928690151e-10,0.00014310000005934853,0.05819530000007944,0.05833840000013879,577.0,0.02849699999933364,0.021966899999824818,0.04929909999918891,12.0,0.029163400000470574,0.0834365999999136,0.11260000000038417,50.0,0.020497399998930632,0.018892599999162485,0.040264100000058534,10.0,rs025,5,5,True
128,disconnected,0,odd_x,True,9.871899312700205e-10,0.00017240000124729704,0.02902399999948102,0.029158900000766153,266.0,0.02741980000064359,0.0277925000009418,0.05437010000059672,15.0,0.027731399999538553,0.09597610000128043,0.1297275000015361,55.0,0.02065530000072613,0.02013289999922563,0.0436783999994077,11.0,jacobi,5,5,True
128,disconnected,0,random,True,9.70628911533691e-10,0.00013749999925494194,0.0755552999999054,0.07576650000009977,634.0,0.026972900001055677,0.026061599999593454,0.05201080000188085,14.0,0.02831250000053842,0.09287169999879552,0.11901499999839871,55.0,0.019466099998680875,0.019593499999245978,0.03813559999980498,10.0,rs025,5,5,True
128,disconnected,1,odd_x,True,9.092451541869095e-10,0.00012889999925391749,0.039487000000008265,0.03961589999926218,450.0,0.024470100001053652,0.024228100000982522,0.048569700000371085,15.0,0.02124589999948512,0.07969770000090648,0.10083029999987048,56.0,0.01678639999954612,0.018541700001151185,0.035313899998072884,11.0,rs025,5,5,True
128,disconnected,1,random,True,9.301557341646773e-10,0.00012999999853491317,0.056805899999744724,0.056979899998623296,634.0,0.023526599999968312,0.02086770000096294,0.04398070000024745,13.0,0.02168300000084855,0.07986089999940305,0.10124360000008892,55.0,0.01661679999961052,0.01667749999978696,0.033237999999983,10.0,rs025,5,5,True
192,connected,0,odd_x,True,1.0046020137480822e-09,0.00030669999978272244,0.16213129999960074,0.16249419999985548,886.0,0.045557200000985176,0.050706199999694945,0.09639470000001893,15.0,0.043309700000463636,0.2541333000008308,0.2974430000012944,78.0,0.03214599999955681,0.04340069999852858,0.07550990000163438,12.0,rs025,5,5,True
192,connected,0,random,True,9.600083569394741e-10,0.00032559999999648426,0.17681110000012268,0.17709800000011455,870.0,0.04436329999953159,0.044781099999454455,0.0906940000004397,13.0,0.045687399999224,0.24396929999966233,0.3003783999993175,75.0,0.033936899999389425,0.04062090000115859,0.07547650000014983,11.0,rs025,4,5,False
192,disconnected,0,odd_x,True,9.076303314903551e-10,0.0003209999995306134,0.08482289999847126,0.08513099999800033,403.0,0.04353300000002491,0.05772450000040408,0.10390580000057525,17.0,0.04344929999933811,0.2678376000003482,0.3112868999996863,83.0,0.03260740000041551,0.03905739999936486,0.07133550000071409,11.0,rs025,5,5,True
192,disconnected,0,random,True,9.941891616592456e-10,0.0002849000011337921,0.1850510000003851,0.18546280000191473,949.0,0.04433750000134751,0.050439700000424637,0.09662480000042706,15.0,0.04141010000057577,0.2626144999994722,0.3059002000009059,82.0,0.03185020000091754,0.035514299999704235,0.06743530000130704,10.0,rs025,5,5,True
192,disconnected,1,odd_x,True,9.999059536349857e-10,0.0003125000002910383,0.13820279999890772,0.13852769999721204,677.0,0.044418299999961164,0.05365270000038436,0.09916069999962929,16.0,0.05365459999848099,0.2797891999998683,0.3334437999983493,83.0,0.0326984999992419,0.04812139999921783,0.08220190000065486,12.0,rs025,5,5,True
192,disconnected,1,random,True,9.762198060529e-10,0.00022390000049199443,0.17962939999961236,0.1800321000009717,953.0,0.04768049999984214,0.047918700000082026,0.09473050000087824,14.0,0.0413700000008248,0.2724816000009014,0.3212016000015865,82.0,0.0333305999993172,0.039284299999053474,0.07261489999837067,11.0,rs025,5,5,True
