n,geometry,average,rhs,centered_winner,shifted_winner,both_stable,empirical_minimum_mean_excess,best_invariant_only_method
128,connected,arithmetic,dipole_x,amg0,amg0,True,0.0,amg0
128,connected,arithmetic,dipole_y,amg0,amg0,True,0.0,amg0
128,connected,arithmetic,ones,amg0,amg0,True,0.0,amg0
128,connected,arithmetic,random,amg0,amg0,True,0.0,amg0
128,connected,harmonic,dipole_x,amg0,amg0,False,0.0,amg0
128,connected,harmonic,dipole_y,amg0,amg0,True,0.0,amg0
128,connected,harmonic,ones,amg0,amg0,True,0.0,amg0
128,connected,harmonic,random,amg0,amg0,True,0.0,amg0
128,disconnected,arithmetic,dipole_x,jacobi,jacobi,True,0.0,jacobi
128,disconnected,arithmetic,dipole_y,jacobi,jacobi,True,0.0,jacobi
128,disconnected,arithmetic,ones,jacobi,jacobi,True,0.0,jacobi
128,disconnected,arithmetic,random,amg0,amg0,True,0.0,amg0
128,disconnected,harmonic,dipole_x,jacobi,jacobi,True,0.0,jacobi
128,disconnected,harmonic,dipole_y,jacobi,jacobi,True,0.0,jacobi
128,disconnected,harmonic,ones,jacobi,jacobi,True,0.0,jacobi
128,disconnected,harmonic,random,amg0,amg0,False,0.0,amg0
192,connected,arithmetic,dipole_x,amg0,amg0,True,0.0,amg0
192,connected,arithmetic,dipole_y,amg0,amg0,True,0.0,amg0
192,connected,arithmetic,ones,amg0,amg0,True,0.0,amg0
192,connected,arithmetic,random,amg0,amg0,True,0.0,amg0
192,connected,harmonic,dipole_x,amg0,amg0,True,0.0,amg0
192,connected,harmonic,dipole_y,amg0,amg0,True,0.0,amg0
192,connected,harmonic,ones,amg0,amg0,True,0.0,amg0
192,connected,harmonic,random,amg0,amg0,False,0.0,amg0
192,disconnected,arithmetic,dipole_x,jacobi,amg0,False,0.0802795363676776,jacobi
192,disconnected,arithmetic,dipole_y,jacobi,amg0,False,0.008990380466762593,jacobi
192,disconnected,arithmetic,ones,amg0,amg0,False,0.0,amg0
192,disconnected,arithmetic,random,amg0,amg0,True,0.0,amg0
192,disconnected,harmonic,dipole_x,jacobi,amg0,True,0.14152595045372474,jacobi
192,disconnected,harmonic,dipole_y,jacobi,amg0,True,0.06486773140539848,amg0
192,disconnected,harmonic,ones,jacobi,amg0,False,0.006343649778885574,amg0
192,disconnected,harmonic,random,amg0,amg0,True,0.0,amg0
96,connected,arithmetic,dipole_x,jacobi,jacobi,True,0.0,jacobi
96,connected,arithmetic,dipole_y,jacobi,jacobi,True,0.0,jacobi
96,connected,arithmetic,ones,jacobi,jacobi,True,0.0,jacobi
96,connected,arithmetic,random,jacobi,jacobi,False,0.0,jacobi
96,connected,harmonic,dipole_x,jacobi,jacobi,False,0.0,jacobi
96,connected,harmonic,dipole_y,jacobi,jacobi,True,0.0,jacobi
96,connected,harmonic,ones,jacobi,jacobi,False,0.0,jacobi
96,connected,harmonic,random,jacobi,jacobi,True,0.0,jacobi
96,disconnected,arithmetic,dipole_x,jacobi,jacobi,True,0.0,jacobi
96,disconnected,arithmetic,dipole_y,jacobi,jacobi,True,0.0,jacobi
96,disconnected,arithmetic,ones,jacobi,jacobi,True,0.0,jacobi
96,disconnected,arithmetic,random,jacobi,jacobi,True,0.0,jacobi
96,disconnected,harmonic,dipole_x,jacobi,jacobi,True,0.0,jacobi
96,disconnected,harmonic,dipole_y,jacobi,jacobi,True,0.0,jacobi
96,disconnected,harmonic,ones,jacobi,jacobi,True,0.0,jacobi
96,disconnected,harmonic,random,jacobi,jacobi,False,0.0,jacobi
