coefficient_case,n,method,mode,setup_seconds_q25,setup_seconds_median,setup_seconds_q75,solve_seconds_q25,solve_seconds_median,solve_seconds_q75,total_seconds_q25,total_seconds_median,total_seconds_q75,iterations_q25,iterations_median,iterations_q75
constant,64,cg,monitored,2.500019036233425e-07,3.00002284348011e-07,4.00003045797348e-07,0.005586850020335987,0.005635100009385496,0.005777849990408868,0.0055871000222396106,0.005635400011669844,0.00577819999307394,116.0,116.0,116.0
constant,64,cg,count-only,2.999731805175543e-07,3.00002284348011e-07,3.500026650726795e-07,0.0034448500373400748,0.0035531999892555177,0.005237949953880161,0.0034451500105205923,0.0035533999907784164,0.005238249956164509,116.0,116.0,116.0
constant,64,jacobi-pcg,monitored,9.114999556913972e-05,0.00010229996405541897,0.00012584999785758555,0.005751050019171089,0.00580800004536286,0.005824349995236844,0.005842200014740229,0.005910300009418279,0.005950199993094429,116.0,116.0,116.0
constant,64,jacobi-pcg,count-only,0.00011419999646022916,0.00012149999383836985,0.00012680000509135425,0.0036003499990329146,0.0036155999987386167,0.003881899989210069,0.003697299980558455,0.003738400002475828,0.003996099985670298,116.0,116.0,116.0
constant,64,amg-pcg,monitored,0.008249100006651133,0.008522299991454929,0.009702199982712045,0.004307500028517097,0.0045597999705933034,0.005039599986048415,0.012785150029230863,0.012840699986554682,0.014391699980478734,8.0,8.0,8.0
constant,64,amg-pcg,count-only,0.007858599972678348,0.008474400034174323,0.009397300018463284,0.0039422000118065625,0.004060300008859485,0.004100699967239052,0.011800499982200563,0.012567600002512336,0.013384300022153184,8.0,8.0,8.0
constant,128,cg,monitored,3.00002284348011e-07,3.9994483813643456e-07,4.00003045797348e-07,0.03071725001791492,0.031224399979691952,0.03648450004402548,0.030717600020579994,0.0312246999819763,0.03648484998848289,235.0,235.0,235.0
constant,128,cg,count-only,2.00001522898674e-07,3.00002284348011e-07,4.00003045797348e-07,0.017893799988087267,0.01910649996716529,0.020140300010098144,0.01789404998999089,0.01910689997021109,0.020140600012382492,235.0,235.0,235.0
constant,128,jacobi-pcg,monitored,0.00017954999930225313,0.00021319999359548092,0.0002734500158112496,0.033493149996502325,0.035648199962452054,0.04719864999060519,0.03369065001606941,0.03580189996864647,0.04740794998360798,235.0,235.0,235.0
constant,128,jacobi-pcg,count-only,0.0001317000132985413,0.0001501000369898975,0.0002365499676670879,0.019483249983750284,0.020908000005874783,0.02147814998170361,0.01967399998102337,0.021040600026026368,0.021651299961376935,235.0,235.0,235.0
