coefficient_case,n,method,repeat,solve_ratio,total_ratio
constant,64,cg,0,1.6762553562730433,1.676254504140584
constant,64,cg,1,1.5756501292987555,1.575645871365197
constant,64,cg,2,1.5744977469169956,1.574448733120068
constant,64,cg,3,1.665949511406997,1.6656608605892782
constant,64,cg,4,1.1475968124854856,1.147568738595365
constant,64,cg,5,1.0558751450297181,1.055872004305875
constant,64,cg,6,3.3461372663884212,3.346064613821203
constant,64,jacobi-pcg,0,1.4294433460269609,1.4256797314219318
constant,64,jacobi-pcg,1,1.578573061398676,1.5358596125810082
constant,64,jacobi-pcg,2,1.6219155113004577,1.5986515539192805
constant,64,jacobi-pcg,3,1.5783852674287067,1.550476142371666
constant,64,jacobi-pcg,4,1.5765044518172147,1.5541560298668406
constant,64,jacobi-pcg,5,1.6034683111076802,1.5992015121123284
constant,64,jacobi-pcg,6,2.2369190760338453,2.2283388967774047
constant,64,amg-pcg,0,1.1650867394836766,0.9191164333162639
constant,64,amg-pcg,1,1.2795992969800947,1.062587581724474
constant,64,amg-pcg,2,1.052232985934144,1.057966518451017
constant,64,amg-pcg,3,1.0492860139321643,1.0665122209093072
constant,64,amg-pcg,4,1.2491687707205217,1.2101438461805196
constant,64,amg-pcg,5,1.0486344549513196,1.1279781346834887
constant,64,amg-pcg,6,0.6372800183502455,0.6652361578906892
constant,128,cg,0,1.7089807360703426,1.7089840979930717
constant,128,cg,1,1.769952701903324,1.7699393943279864
constant,128,cg,2,2.0912464409061013,2.091218358858777
constant,128,cg,3,1.5820254682735793,1.58202947150038
constant,128,cg,4,1.6664351662816892,1.6664387860139116
constant,128,cg,5,1.6084024831586654,1.6083847964937255
constant,128,cg,6,1.4020779817038636,1.4020744178416478
constant,128,jacobi-pcg,0,2.735849678694982,2.732084255497126
constant,128,jacobi-pcg,1,1.6983364604540283,1.701477291442989
constant,128,jacobi-pcg,2,1.8888270907114075,1.8772213615561892
constant,128,jacobi-pcg,3,1.607718470242283,1.6020675298740454
constant,128,jacobi-pcg,4,1.6195932298512992,1.6139495463261593
constant,128,jacobi-pcg,5,1.7050028674400006,1.7015626894841862
constant,128,jacobi-pcg,6,0.8071200284390951,0.8068891411212841
constant,128,amg-pcg,0,1.1541504944432301,1.0840068665172347
constant,128,amg-pcg,1,1.0659888857848836,1.040968746343515
constant,128,amg-pcg,2,1.0368177489345576,1.0211635565316146
constant,128,amg-pcg,3,0.9213497102168188,0.8091449616515449
constant,128,amg-pcg,4,1.1898420212801273,1.2129867715809384
constant,128,amg-pcg,5,1.0438464444833149,1.0132972552110622
constant,128,amg-pcg,6,1.0148114502824304,1.0476815545220248
constant,256,cg,0,1.9653768252415222,1.965373218685077
constant,256,cg,1,1.8365311944682388,1.8365280207211179
constant,256,cg,2,1.8233958815825881,1.8233940570475449
constant,256,cg,3,1.6808724103706765,1.6808721725522153
constant,256,cg,4,1.8568886644947,1.8568863757707381
constant,256,cg,5,1.7670419214657258,1.767036512839637
constant,256,cg,6,1.8980645804646579,1.898063829649779
constant,256,jacobi-pcg,0,1.762143426181503,1.7582301192931307
constant,256,jacobi-pcg,1,1.7136541162835697,1.712277449427747
constant,256,jacobi-pcg,2,1.760561474865636,1.7585699681179388
constant,256,jacobi-pcg,3,1.9303251538197579,1.9265983030577087
constant,256,jacobi-pcg,4,1.8171284484981338,1.8141792937989187
constant,256,jacobi-pcg,5,1.4405754424788506,1.4386599330891965
constant,256,jacobi-pcg,6,2.098194703347602,2.0943881841236407
constant,256,amg-pcg,0,0.948463670587832,0.9093320009409177
constant,256,amg-pcg,1,1.041299521804461,0.9677629765682751
constant,256,amg-pcg,2,0.8847231925158285,0.9101417009360736
constant,256,amg-pcg,3,1.0110496253308598,1.0213667391579144
constant,256,amg-pcg,4,1.0402702453269115,0.8996592072428392
constant,256,amg-pcg,5,1.3443457787793895,1.2501961794260392
constant,256,amg-pcg,6,1.283425321672797,1.510616787984252
inclusion_c100,64,cg,0,1.6293677988470825,1.629362326977521
inclusion_c100,64,cg,1,1.634122958544155,1.634108755272536
inclusion_c100,64,cg,2,1.6255396893611866,1.6255385888080625
inclusion_c100,64,cg,3,1.629082305719843,1.6290697048221112
inclusion_c100,64,cg,4,1.5939968553480544,1.59399606670174
inclusion_c100,64,cg,5,1.7654269683652037,1.7654090131509224
inclusion_c100,64,cg,6,1.473106507039462,1.4731046369363863
inclusion_c100,64,jacobi-pcg,0,1.6934179950275965,1.7111363361439067
inclusion_c100,64,jacobi-pcg,1,1.5810888204115965,1.5636469067285756
inclusion_c100,64,jacobi-pcg,2,1.6058666669820352,1.5903278490320771
inclusion_c100,64,jacobi-pcg,3,1.6017231461894428,1.5825607921214238
inclusion_c100,64,jacobi-pcg,4,1.6982330172078717,1.678185316475835
inclusion_c100,64,jacobi-pcg,5,1.616730906936339,1.5908179790280192
inclusion_c100,64,jacobi-pcg,6,1.64283725279323,1.648462957011085
inclusion_c100,64,amg-pcg,0,1.0253822212119306,0.9917697443528074
inclusion_c100,64,amg-pcg,1,0.9556419538919819,0.9762786315191401
inclusion_c100,64,amg-pcg,2,1.1086428652508242,0.9759704380738583
inclusion_c100,64,amg-pcg,3,1.1177760817087223,1.2540711424183524
inclusion_c100,64,amg-pcg,4,1.205926788958446,1.2351352694735525
