coefficient_case,family,n,n_unknowns,face_average,condition_n,condition_estimate,method,tolerance,converged,iterations,setup_seconds,solve_seconds,total_seconds,residual_norm,memory_estimate_mb,best_method,is_best,speedup_vs_cg
inclusion_c100,inclusion,64,3844,arithmetic,64,157068.33510661175,cg,1e-08,True,796,3.00002284348011e-07,0.038482400006614625,0.03848270000889897,6.111489849440583e-09,0.3197669982910156,jacobi-pcg,False,1.0
inclusion_c100,inclusion,64,3844,arithmetic,64,157068.33510661175,jacobi-pcg,1e-08,True,129,0.00011849997099488974,0.006270700017921627,0.006389199988916516,8.751716809779867e-09,0.3197669982910156,jacobi-pcg,True,6.02308584418327
inclusion_c100,inclusion,64,3844,arithmetic,64,157068.33510661175,amg-pcg,1e-08,True,10,0.18426229991018772,0.00641550007276237,0.1906777999829501,2.1732442764272178e-09,0.3197669982910156,jacobi-pcg,False,0.20182055809506924
inclusion_c100,inclusion,64,3844,harmonic,64,157410.0454430379,cg,1e-08,True,725,3.00002284348011e-07,0.04294099996332079,0.04294129996560514,9.500000560429427e-09,0.3197669982910156,jacobi-pcg,False,1.0
inclusion_c100,inclusion,64,3844,harmonic,64,157410.0454430379,jacobi-pcg,1e-08,True,129,0.00011580006685107946,0.010845700046047568,0.010961500112898648,8.467047535781647e-09,0.3197669982910156,jacobi-pcg,True,3.9174656318321914
inclusion_c100,inclusion,64,3844,harmonic,64,157410.0454430379,amg-pcg,1e-08,True,10,0.013945500017143786,0.006166800041683018,0.020112300058826804,1.905388397869119e-09,0.3197669982910156,jacobi-pcg,False,2.1350765372436475
inclusion_c100,inclusion,128,15876,arithmetic,128,642591.557317039,cg,1e-08,True,1963,3.00002284348011e-07,1.2103625000454485,1.210362800047733,8.770480871182208e-09,1.3266029357910156,amg-pcg,False,1.0
inclusion_c100,inclusion,128,15876,arithmetic,128,642591.557317039,jacobi-pcg,1e-08,True,264,0.0001314000692218542,0.16884099994786084,0.1689724000170827,8.903279413536068e-09,1.3266029357910156,amg-pcg,False,7.163079887161265
inclusion_c100,inclusion,128,15876,arithmetic,128,642591.557317039,amg-pcg,1e-08,True,12,0.05259440001100302,0.03236069995909929,0.08495509997010231,1.6550679442416698e-09,1.3266029357910156,amg-pcg,True,14.247088173325531
inclusion_c100,inclusion,128,15876,harmonic,128,643372.7775465663,cg,1e-08,True,1891,2.00001522898674e-07,1.185342299984768,1.185342499986291,8.476461019130554e-09,1.3266029357910156,amg-pcg,False,1.0
inclusion_c100,inclusion,128,15876,harmonic,128,643372.7775465663,jacobi-pcg,1e-08,True,263,0.00012960005551576614,0.168367899954319,0.16849750000983477,9.702455821517422e-09,1.3266029357910156,amg-pcg,False,7.034777963572786
inclusion_c100,inclusion,128,15876,harmonic,128,643372.7775465663,amg-pcg,1e-08,True,11,0.052596300025470555,0.029447600012645125,0.08204390003811568,5.906192215558769e-09,1.3266029357910156,amg-pcg,True,14.447661549921548
inclusion_c100,inclusion,256,64516,arithmetic,128,642591.557317039,cg,1e-08,True,4370,5.00003807246685e-07,5.060638800030574,5.0606393000343814,9.952871014461878e-09,5.402774810791016,amg-pcg,False,1.0
inclusion_c100,inclusion,256,64516,arithmetic,128,642591.557317039,jacobi-pcg,1e-08,True,535,0.00030069996137171984,0.6649668000172824,0.6652674999786541,9.140165530045868e-09,5.402774810791016,amg-pcg,False,7.606923982002365
inclusion_c100,inclusion,256,64516,arithmetic,128,642591.557317039,amg-pcg,1e-08,True,12,0.1741035000886768,0.10091090004425496,0.27501440013293177,4.354572816362787e-09,5.402774810791016,amg-pcg,True,18.401361156318565
inclusion_c100,inclusion,256,64516,harmonic,128,643372.7775465663,cg,1e-08,True,4326,4.00003045797348e-07,4.852604100015014,4.85260450001806,8.578549872490511e-09,5.402774810791016,amg-pcg,False,1.0
inclusion_c100,inclusion,256,64516,harmonic,128,643372.7775465663,jacobi-pcg,1e-08,True,535,0.00031340005807578564,0.6572473000269383,0.6575607000850141,8.92949826700777e-09,5.402774810791016,amg-pcg,False,7.379705781368444
inclusion_c100,inclusion,256,64516,harmonic,128,643372.7775465663,amg-pcg,1e-08,True,12,0.13804609992075711,0.09597500006202608,0.2340210999827832,4.012971083705131e-09,5.402774810791016,amg-pcg,True,20.735756307337518
layered_c100,layered,64,3844,arithmetic,64,63318.38611794404,cg,1e-08,True,1136,6.00004568696022e-07,0.05454639997333288,0.05454699997790158,9.28175956662757e-09,0.3197669982910156,jacobi-pcg,False,1.0
layered_c100,layered,64,3844,arithmetic,64,63318.38611794404,jacobi-pcg,1e-08,True,164,0.00012720003724098206,0.008122299914248288,0.00824949995148927,9.526385765497279e-09,0.3197669982910156,jacobi-pcg,True,6.6121583488286815
layered_c100,layered,64,3844,arithmetic,64,63318.38611794404,amg-pcg,1e-08,True,9,0.009156899992376566,0.004966899985447526,0.014123799977824092,1.7773352238037106e-09,0.3197669982910156,jacobi-pcg,False,3.8620626222083523
layered_c100,layered,64,3844,harmonic,64,64900.46649002771,cg,1e-08,True,1120,4.00003045797348e-07,0.06264580006245524,0.06264620006550103,8.071645157671681e-09,0.3197669982910156,jacobi-pcg,False,1.0
layered_c100,layered,64,3844,harmonic,64,64900.46649002771,jacobi-pcg,1e-08,True,181,8.63000750541687e-05,0.009661899995990098,0.009748200071044266,9.33046102187605e-09,0.3197669982910156,jacobi-pcg,True,6.426437661203042
layered_c100,layered,64,3844,harmonic,64,64900.46649002771,amg-pcg,1e-08,True,9,0.008359900093637407,0.005079800030216575,0.013439700123853981,4.190509058382181e-09,0.3197669982910156,jacobi-pcg,False,4.661279603576196
layered_c100,layered,128,15876,arithmetic,128,260711.53678791114,cg,1e-08,True,2447,5.00003807246685e-07,1.5181433000834659,1.5181438000872731,9.125319690900396e-09,1.3266029357910156,amg-pcg,False,1.0
layered_c100,layered,128,15876,arithmetic,128,260711.53678791114,jacobi-pcg,1e-08,True,325,0.00011969998013228178,0.200488300062716,0.2006080000428483,9.672378983313863e-09,1.3266029357910156,amg-pcg,False,7.5677131508365045
layered_c100,layered,128,15876,arithmetic,128,260711.53678791114,amg-pcg,1e-08,True,10,0.06099830009043217,0.027223800076171756,0.08822210016660392,7.3463295004199745e-09,1.3266029357910156,amg-pcg,True,17.20820290177086
layered_c100,layered,128,15876,harmonic,128,263907.4295512045,cg,1e-08,True,2442,3.00002284348011e-07,1.5022552999434993,1.5022555999457836,9.345632915774505e-09,1.3266029357910156,amg-pcg,False,1.0
