coefficient_case,family,contrast_target,contrast_observed,face_average,n,n_unknowns,lambda_min,lambda_max,condition_estimate
constant,constant,1.0,1.0,arithmetic,32,900,19.722320881555714,7668.277679117644,388.81213449320796
constant,constant,1.0,1.0,arithmetic,64,3844,19.735118728389576,31732.264881169554,1607.9084862824623
constant,constant,1.0,1.0,arithmetic,128,15876,19.738202260088595,129012.2617946946,6536.170827247138
smooth_c3,smooth,3.0,2.9897649032694784,arithmetic,32,900,19.331408981970046,10864.082355247147,561.9912322676439
smooth_c3,smooth,3.0,2.997515386722866,arithmetic,64,3844,19.339436543348967,46262.63652059935,2392.139833903773
smooth_c3,smooth,3.0,2.9993882080928143,arithmetic,128,15876,19.341364067601823,190789.16968162722,9864.307864470264
smooth_c10,smooth,10.0,9.874464933564335,arithmetic,32,900,18.479739001200134,13032.440897456921,705.2286234459563
smooth_c10,smooth,10.0,9.969319610984629,arithmetic,64,3844,18.47609413866019,55802.876124465176,3020.2745074620934
smooth_c10,smooth,10.0,9.992433125831916,arithmetic,128,15876,18.475184386511668,230713.08343251192,12487.728328219044
smooth_c30,smooth,30.0,28.88823519837368,arithmetic,32,900,17.84240395985506,13835.31682351985,775.417755065346
smooth_c30,smooth,30.0,29.723113434605743,arithmetic,64,3844,17.825550420049847,59327.08033791529,3328.204680355076
smooth_c30,smooth,30.0,29.931391547005088,arithmetic,128,15876,17.821381568651688,245445.8144202557,13772.546952925455
inclusion_c10,inclusion,10.0,10.0,arithmetic,32,900,20.075295283430727,74443.06975235562,3708.1930154122156
inclusion_c10,inclusion,10.0,10.0,arithmetic,64,3844,20.01613691503774,314992.7834213843,15736.941886360511
inclusion_c10,inclusion,10.0,10.0,arithmetic,128,15876,20.009543845981955,1287806.4804590226,64359.612111678514
inclusion_c30,inclusion,30.0,30.0,arithmetic,32,900,20.119262844276857,223269.19729727609,11097.285175176656
inclusion_c30,inclusion,30.0,30.0,arithmetic,64,3844,20.04334099131667,944947.4345618598,47145.20573048362
inclusion_c30,inclusion,30.0,30.0,arithmetic,128,15876,20.032384600517112,3863404.7086753785,192857.95404385604
inclusion_c100,inclusion,100.0,100.0,arithmetic,32,900,20.136641847781544,744164.3159744765,36955.73083137799
inclusion_c100,inclusion,100.0,100.0,arithmetic,64,3844,20.053632304507403,3149790.6389163053,157068.33510696888
inclusion_c100,inclusion,100.0,100.0,arithmetic,128,15876,20.040723132963787,12877999.487695323,642591.5573132724
layered_c10,layered,10.0,10.0,arithmetic,32,900,45.74609777875414,76398.45147893859,1670.0539540756265
layered_c10,layered,10.0,10.0,arithmetic,64,3844,45.068605852009846,317032.0993821862,7034.433246575522
layered_c10,layered,10.0,10.0,arithmetic,128,15876,44.72391555898083,1289829.215401415,28839.809736703824
layered_c30,layered,30.0,30.0,arithmetic,32,900,49.87248996281463,229192.44652426452,4595.568552826467
layered_c30,layered,30.0,30.0,arithmetic,64,3844,48.81448271241602,951094.8352877635,19483.865902892205
layered_c30,layered,30.0,30.0,arithmetic,128,15876,48.288178780524895,3869486.91312732,80133.2129487543
layered_c100,layered,100.0,100.0,arithmetic,32,900,51.2726845146154,763971.6018169861,14900.167780355136
layered_c100,layered,100.0,100.0,arithmetic,64,3844,50.06941418138083,3170314.499848978,63318.38611820455
layered_c100,layered,100.0,100.0,arithmetic,128,15876,49.4734105710979,12898288.900131894,260711.53678794493
checkerboard_c10,checkerboard,10.0,10.0,arithmetic,32,900,81.55110456065813,67712.69352925656,830.3099497431272
checkerboard_c10,checkerboard,10.0,10.0,arithmetic,64,3844,76.99473776349322,306620.84844991576,3982.3610983879335
checkerboard_c10,checkerboard,10.0,10.0,arithmetic,128,15876,73.84685533306235,1278552.5997601277,17313.568654936353
checkerboard_c30,checkerboard,30.0,30.0,arithmetic,32,900,194.8212023003354,202604.1496831314,1039.949180535278
checkerboard_c30,checkerboard,30.0,30.0,arithmetic,64,3844,173.59275692540245,919548.5322836504,5297.159562243749
checkerboard_c30,checkerboard,30.0,30.0,arithmetic,128,15876,158.9401059000107,3835486.408082121,24131.646234683067
checkerboard_c100,checkerboard,100.0,100.0,arithmetic,32,900,560.430163654881,674751.1596796855,1203.987942546227
checkerboard_c100,checkerboard,100.0,100.0,arithmetic,64,3844,467.9875098000891,3064812.172205142,6548.918738267914
checkerboard_c100,checkerboard,100.0,100.0,arithmetic,128,15876,409.9094406362983,12784764.686185138,31189.241863616207
