n,contrast,geometry,variant,average,rhs,repeat,order,method,seed,high_nodes,mean,tv,grad,components,setup,solve,total,iterations,info,residual,accepted,complexity
192,1000.0,disconnected,shift_x,arithmetic,dipole_y,0,0,amg0,1701,1728,47.828125,1255.2879581151833,932.943434704179,2,0.0616052999994281,0.05729280000014114,0.11889809999956924,17,0,7.180331255097333e-10,True,1.3386725269834205
192,1000.0,disconnected,shift_x,arithmetic,ones,0,1,jacobi,1701,1728,47.828125,1255.2879581151833,932.943434704179,2,0.00021830000059708254,0.13559319999967556,0.13581150000027264,709,0,2.4179578511589817e-09,True,0.0
192,1000.0,disconnected,shift_x,arithmetic,random,0,2,jacobi,1701,1728,47.828125,1255.2879581151833,932.943434704179,2,0.000224099999286409,0.185210200000256,0.18543429999954242,951,0,9.79943997904436e-10,True,0.0
192,1000.0,disconnected,shift_x,arithmetic,dipole_y,0,3,jacobi,1701,1728,47.828125,1255.2879581151833,932.943434704179,2,0.0002220999995188322,0.10705200000029436,0.10727409999981319,619,0,1.4228279724849618e-09,True,0.0
192,1000.0,disconnected,shift_x,arithmetic,ones,0,4,amg0,1701,1728,47.828125,1255.2879581151833,932.943434704179,2,0.049355000000105065,0.06119570000009844,0.1105507000002035,18,0,4.793082638300203e-10,True,1.3386725269834205
192,1000.0,disconnected,shift_x,arithmetic,dipole_x,0,5,amg0,1701,1728,47.828125,1255.2879581151833,932.943434704179,2,0.051893200000449724,0.05594249999921885,0.10783569999966858,17,0,8.259803888776237e-10,True,1.3386725269834205
192,1000.0,disconnected,shift_x,arithmetic,random,0,6,amg0,1701,1728,47.828125,1255.2879581151833,932.943434704179,2,0.047665199999755714,0.056312400000024354,0.10397759999978007,15,0,9.110782109688019e-10,True,1.3386725269834205
192,1000.0,disconnected,shift_x,arithmetic,dipole_x,0,7,jacobi,1701,1728,47.828125,1255.2879581151833,932.943434704179,2,0.0003271999994467478,0.12452399999983754,0.12485119999928429,677,0,9.212533792241898e-10,True,0.0
192,1000.0,disconnected,shift_x,arithmetic,random,1,0,amg0,1702,1728,47.828125,1255.2879581151833,932.943434704179,2,0.044651799999883224,0.04939470000044821,0.09404650000033143,15,0,9.059130825585403e-10,True,1.3386725269834205
192,1000.0,disconnected,shift_x,arithmetic,random,1,1,jacobi,1702,1728,47.828125,1255.2879581151833,932.943434704179,2,0.0002648999998200452,0.16600000000016735,0.1662648999999874,951,0,9.79943997904436e-10,True,0.0
192,1000.0,disconnected,shift_x,arithmetic,dipole_y,1,2,jacobi,1702,1728,47.828125,1255.2879581151833,932.943434704179,2,0.0002806000002237852,0.10710389999985637,0.10738450000008015,619,0,1.4228279724849618e-09,True,0.0
192,1000.0,disconnected,shift_x,arithmetic,ones,1,3,amg0,1702,1728,47.828125,1255.2879581151833,932.943434704179,2,0.06971049999992829,0.06042959999922459,0.13014009999915288,18,0,4.90400977364133e-10,True,1.3386725269834205
192,1000.0,disconnected,shift_x,arithmetic,dipole_y,1,4,amg0,1702,1728,47.828125,1255.2879581151833,932.943434704179,2,0.052346700000271085,0.06989220000014029,0.12223890000041138,17,0,7.126714589161663e-10,True,1.3386725269834205
192,1000.0,disconnected,shift_x,arithmetic,dipole_x,1,5,amg0,1702,1728,47.828125,1255.2879581151833,932.943434704179,2,0.06359160000010888,0.07477229999949486,0.13836389999960375,17,0,8.183756426989958e-10,True,1.3386725269834205
192,1000.0,disconnected,shift_x,arithmetic,ones,1,6,jacobi,1702,1728,47.828125,1255.2879581151833,932.943434704179,2,0.0002623999998832005,0.16209530000014638,0.16235770000002958,709,0,2.4179578511589817e-09,True,0.0
192,1000.0,disconnected,shift_x,arithmetic,dipole_x,1,7,jacobi,1702,1728,47.828125,1255.2879581151833,932.943434704179,2,0.00023779999992257217,0.13304789999983768,0.13328569999976025,677,0,9.212533792241898e-10,True,0.0
192,1000.0,disconnected,shift_x,arithmetic,dipole_x,2,0,amg0,1703,1728,47.828125,1255.2879581151833,932.943434704179,2,0.05251040000075591,0.05792250000013155,0.11043290000088746,17,0,8.228865035889553e-10,True,1.3386725269834205
192,1000.0,disconnected,shift_x,arithmetic,random,2,1,jacobi,1703,1728,47.828125,1255.2879581151833,932.943434704179,2,0.0002159000005121925,0.16785350000009203,0.16806940000060422,951,0,9.79943997904436e-10,True,0.0
