n,contrast,geometry,variant,average,rhs,jacobi_seconds,jacobi_iterations,amg0_seconds,amg0_iterations,winner,jacobi_to_amg,all_accepted,stable,jacobi_wins,min_paired_ratio,max_paired_ratio,max_residual
192,1000.0,disconnected,shift_x,arithmetic,dipole_y,0.10727409999981319,619,0.1053792999991856,17,amg0,1.0179807609335252,True,False,3,0.8784805818746632,1.0994657811832735,1.4228279724849618e-09
192,1000.0,disconnected,shift_x,arithmetic,ones,0.127929000000222,709,0.10253689999899507,18,amg0,1.2476386549766552,True,True,0,1.181077218594543,1.296870374802893,2.4179578511589817e-09
192,1000.0,disconnected,shift_x,arithmetic,random,0.16806940000060422,951,0.09341180000046734,15,amg0,1.799230932277971,True,True,0,1.7679009851445981,1.8593838033882084,9.79943997904436e-10
192,1000.0,disconnected,shift_x,arithmetic,dipole_x,0.1251496999993833,677,0.10783569999966858,17,amg0,1.1605590727353552,True,False,1,0.9632982302474993,1.2593206420375327,9.212533792241898e-10
128,1000.0,disconnected,centered,arithmetic,ones,0.03335209999931976,368,0.04678380000041216,16,jacobi,0.7128984819323342,True,True,5,0.6232175960073485,0.7151118162882835,1.3868394842897765e-09
128,1000.0,disconnected,centered,arithmetic,dipole_y,0.030739900000298803,327,0.04827110000042012,16,jacobi,0.6368178889652663,True,True,5,0.5656394613005857,0.7511637397816017,9.968340188268084e-10
128,1000.0,disconnected,centered,arithmetic,random,0.05755929999941145,635,0.04541770000014367,14,amg0,1.2673318992205544,True,True,0,1.1576792473215318,1.5724700835056198,9.28053873396141e-10
128,1000.0,disconnected,centered,arithmetic,dipole_x,0.02431830000023183,267,0.0478240000002188,16,jacobi,0.5084957343618386,True,True,5,0.4723415551333136,0.6023410548073046,9.90014285829128e-10
96,1000.0,connected,transpose,harmonic,dipole_x,0.023685000000114087,437,0.02563929999996617,13,jacobi,0.9237771702092233,True,True,5,0.8667215269740041,0.9588231616154163,9.116272189847934e-10
96,1000.0,connected,transpose,harmonic,random,0.023364300001048832,433,0.023477200000343146,11,jacobi,0.9951910790344393,True,False,3,0.9113756665812295,1.0241468317889977,9.634835116513852e-10
96,1000.0,connected,transpose,harmonic,dipole_y,0.024089200000162236,450,0.02602019999994809,13,jacobi,0.9257884259233324,True,False,4,0.9160805835958046,1.0232871714030702,9.243637454043341e-10
96,1000.0,connected,transpose,harmonic,ones,0.023889100000815233,445,0.025890100000651728,13,jacobi,0.9227117701443361,True,True,5,0.9044107337054731,0.958083159644286,1.0770126691037334e-09
192,1000.0,disconnected,centered,harmonic,dipole_x,0.0722022999998444,403,0.10099620000073628,17,jacobi,0.714901154690157,True,True,5,0.6462099953578968,0.7602150592445883,9.076303314903551e-10
192,1000.0,disconnected,centered,harmonic,random,0.16616469999917172,949,0.09429199999976845,15,amg0,1.7622353964236601,True,True,0,1.7269833908766867,2.0672059141940275,9.941891616592456e-10
192,1000.0,disconnected,centered,harmonic,ones,0.09975330000088434,556,0.10101889999987179,17,jacobi,0.9874716513544588,True,False,3,0.8470466858059957,1.0489825038945908,2.0956296358481532e-09
192,1000.0,disconnected,centered,harmonic,dipole_y,0.08909899999980553,495,0.10065830000075948,17,jacobi,0.8851629721456975,True,True,5,0.8267579530842606,0.9200782289394963,1.290355839476956e-09
96,1000.0,disconnected,centered,arithmetic,random,0.02612420000059501,470,0.02840589999959775,14,jacobi,0.9196751379454603,True,True,5,0.8498943601786165,0.974017321798718,9.863196901310128e-10
96,1000.0,disconnected,centered,arithmetic,dipole_y,0.013001899999835587,243,0.030166199999257515,15,jacobi,0.4310088774905558,True,True,5,0.4088840668514011,0.4705469845686776,9.622303294165334e-10
96,1000.0,disconnected,centered,arithmetic,dipole_x,0.010717799999838462,199,0.029838200000085635,16,jacobi,0.3591972706063939,True,True,5,0.34898782524143673,0.38830090284585783,9.403046779773977e-10
96,1000.0,disconnected,centered,arithmetic,ones,0.014784899999540357,275,0.029956200000015087,16,jacobi,0.49355058383683215,True,True,5,0.4633477091537387,0.5247237708590714,9.287716920238519e-10
128,1000.0,disconnected,shift_x,arithmetic,dipole_x,0.038954699999521836,449,0.04853079999975307,15,jacobi,0.8026799475739127,True,True,5,0.7792619617754345,0.8657811875126203,9.758964763523737e-10
128,1000.0,disconnected,shift_x,arithmetic,dipole_y,0.03613569999924948,411,0.04906800000117073,16,jacobi,0.7364412651501449,True,True,5,0.707746585443285,0.8561120088239138,9.300640770715896e-10
128,1000.0,disconnected,shift_x,arithmetic,random,0.05524439999953756,636,0.046487500000694126,14,amg0,1.1883710674635695,True,True,0,1.0250877463411274,1.2708367102204625,9.602483169836392e-10
128,1000.0,disconnected,shift_x,arithmetic,ones,0.04126720000022033,471,0.04833450000023731,15,jacobi,0.8537835293634508,True,True,5,0.8295179781022136,0.8671488876317669,1.4292059178032373e-09
96,1000.0,connected,centered,arithmetic,dipole_y,0.02769540000008419,450,0.028769000000465894,14,jacobi,0.9626820535866969,True,True,5,0.6809434477075721,0.970901415184869,9.83243563885885e-10
96,1000.0,connected,centered,arithmetic,dipole_x,0.02815869999994902,440,0.030945499999688764,14,jacobi,0.9099449031436632,True,True,5,0.7453295641565577,0.9894453308535294,9.165597081023966e-10
96,1000.0,connected,centered,arithmetic,ones,0.026498099999116675,454,0.029816500000379165,14,jacobi,0.8887059178233431,True,True,5,0.8117996189885689,0.9815274525326365,9.972226770751474e-10
96,1000.0,connected,centered,arithmetic,random,0.027824900000268826,442,0.029924600000413193,12,jacobi,0.9298336485662173,True,True,5,0.8908957015888889,0.9668734084887665,9.424474270842846e-10
96,1000.0,connected,transpose,arithmetic,dipole_x,0.02403480000066338,440,0.027232200000071316,13,jacobi,0.8825875250842913,True,True,5,0.8032269707508198,0.9477051247562915,9.161955011521065e-10
96,1000.0,connected,transpose,arithmetic,random,0.02395489999980782,442,0.026860900000428956,12,jacobi,0.8918130069887932,True,True,5,0.8142773619318092,0.9530004943367246,9.422874085442483e-10
96,1000.0,connected,transpose,arithmetic,ones,0.02515549999952782,454,0.02831549999973504,14,jacobi,0.8884003460918299,True,False,4,0.7858834335161458,1.108452944721238,1.000904409969774e-09
96,1000.0,connected,transpose,arithmetic,dipole_y,0.024387800001022697,450,0.027478599999994913,13,jacobi,0.88751974267347,True,True,5,0.8221250062878325,0.9096531145684736,9.829793971890795e-10
96,1000.0,disconnected,transpose,harmonic,dipole_y,0.01363130000027013,246,0.027995499999633466,15,jacobi,0.4869103963297172,True,True,5,0.47901563418608617,0.523505563421779,8.411029317240611e-10
96,1000.0,disconnected,transpose,harmonic,dipole_x,0.010894399999415327,197,0.02873989999989135,15,jacobi,0.37906882067983927,True,True,5,0.37462647045530223,0.4755914187360486,9.46161201548045e-10
96,1000.0,disconnected,transpose,harmonic,ones,0.015309399999750894,276,0.028409800000190444,15,jacobi,0.538877429606976,True,True,5,0.48418969170502263,0.6806602701842505,9.67740334220744e-10
96,1000.0,disconnected,transpose,harmonic,random,0.026094300000295334,470,0.026770299999043345,13,jacobi,0.974748135105988,True,False,4,0.8995774433422041,1.0417012244280834,9.421657398966224e-10
128,1000.0,disconnected,transpose,harmonic,dipole_y,0.028761000000486092,328,0.047210300001097494,16,jacobi,0.6092102782616821,True,True,5,0.5828559969435283,0.6485340140020075,9.81318847343458e-10
128,1000.0,disconnected,transpose,harmonic,dipole_x,0.023726200000055542,266,0.04669209999974555,16,jacobi,0.5081416342418704,True,True,5,0.4919825837844841,0.5253891983507412,9.116921635735068e-10
128,1000.0,disconnected,transpose,harmonic,ones,0.03138089999993099,366,0.04706880000048841,16,jacobi,0.6667027840014057,True,True,5,0.6462812693455666,0.706500196422906,1.3814990133655381e-09
128,1000.0,disconnected,transpose,harmonic,random,0.05506209999930434,634,0.04484669999965263,14,amg0,1.2277848760272403,True,True,0,1.165400491071151,1.284657725103526,9.708283193027376e-10
96,1000.0,disconnected,shift_x,arithmetic,dipole_x,0.018544999999903666,336,0.030429099999309983,16,jacobi,0.6094495072257871,True,True,5,0.5901652908355324,0.6277387249924649,8.543504510463124e-10
96,1000.0,disconnected,shift_x,arithmetic,random,0.025901799999701325,469,0.02808770000046934,14,jacobi,0.9221758990329757,True,True,5,0.8548477057440365,0.935121710606824,9.751255544367017e-10
96,1000.0,disconnected,shift_x,arithmetic,dipole_y,0.016756099999838625,306,0.029554699999607692,16,jacobi,0.5669521260598499,True,True,5,0.5312841679928338,0.6235514432090513,9.39143095115245e-10
96,1000.0,disconnected,shift_x,arithmetic,ones,0.019062899999880756,352,0.029857199999241857,16,jacobi,0.6384691129899925,True,True,5,0.6097785174417147,0.7153589488516782,9.536179824784279e-10
96,1000.0,connected,shift_x,harmonic,random,0.023439900000994385,434,0.025172800000291318,11,jacobi,0.9311598233300674,True,True,5,0.876386379758063,0.9846262632666362,9.068133163267647e-10
96,1000.0,connected,shift_x,harmonic,dipole_x,0.025072099999306374,437,0.02637460000005376,12,jacobi,0.9506153647545468,True,False,4,0.8857120107848867,1.0275186584932088,9.220434464355267e-10
96,1000.0,connected,shift_x,harmonic,dipole_y,0.02511549999962881,451,0.02781799999957002,13,jacobi,0.9028506722272276,True,True,5,0.8660135026434533,0.9452625830629603,9.152036792933944e-10
96,1000.0,connected,shift_x,harmonic,ones,0.024397099999987404,444,0.026229300000522926,12,jacobi,0.9301468205213638,True,False,4,0.8741308057499598,1.0008730693857237,1.1008488055105337e-09
192,1000.0,connected,shift_x,arithmetic,dipole_x,0.1649594000000434,889,0.09413930000027904,15,amg0,1.7522904886647175,True,True,0,1.4129526844211868,1.8285070791843308,9.504270886077595e-10
192,1000.0,connected,shift_x,arithmetic,ones,0.1648884000005637,918,0.09398520000104327,15,amg0,1.7544081408427432,True,True,0,1.5279781453208274,1.983059262289394,2.809085708045797e-09
192,1000.0,connected,shift_x,arithmetic,dipole_y,0.16287150000061956,916,0.09643019999930402,15,amg0,1.6890092523067988,True,True,0,1.6389770788150826,1.7841201387904848,9.527058435595497e-10
192,1000.0,connected,shift_x,arithmetic,random,0.15540340000006836,890,0.08836739999969723,13,amg0,1.758605549112012,True,True,0,1.709183763794643,1.9048523913207953,9.918776463932297e-10
192,1000.0,connected,transpose,arithmetic,ones,0.1733860000003915,918,0.08850880000045436,14,amg0,1.9589690516592861,True,True,0,1.6598391330989701,2.1573149436492085,2.9390363753989255e-09
192,1000.0,connected,transpose,arithmetic,dipole_y,0.1680326999994577,915,0.08963049999965733,14,amg0,1.8747267950095123,True,True,0,1.5132260829489732,1.9333970769898958,9.59821806408032e-10
192,1000.0,connected,transpose,arithmetic,random,0.15902299999925162,888,0.08106059999954596,12,amg0,1.9617792120973983,True,True,0,1.6297148300676751,2.1354406456502697,9.401028522473934e-10
192,1000.0,connected,transpose,arithmetic,dipole_x,0.1640717999998742,888,0.09276820000013686,14,amg0,1.7686211438793913,True,True,0,1.7264008571913867,1.9091302597168034,9.599487301932233e-10
192,1000.0,disconnected,transpose,harmonic,ones,0.10838420000072801,556,0.10418869999921299,17,amg0,1.040268282467741,True,False,2,0.9029115385960961,1.20775086703601,2.1773403786542635e-09
192,1000.0,disconnected,transpose,harmonic,random,0.16643909999947937,949,0.09120179999990796,15,amg0,1.8249541127439077,True,True,0,1.8168917718880329,2.1974545819167894,9.951557917096495e-10
192,1000.0,disconnected,transpose,harmonic,dipole_y,0.08921409999948082,495,0.10102699999970355,17,jacobi,0.8830718520765994,True,False,4,0.8483337321607076,1.0204113751802617,1.3421375490019974e-09
192,1000.0,disconnected,transpose,harmonic,dipole_x,0.07254160000138654,403,0.09868970000025001,17,jacobi,0.7350473251129831,True,True,5,0.7100103808231125,0.7786506595987689,9.076276306242268e-10
96,1000.0,connected,shift_x,arithmetic,random,0.02392299999974057,442,0.02659990000029211,12,jacobi,0.8993642833047438,True,False,4,0.874381401620652,1.0980043653570504,9.189572051723579e-10
96,1000.0,connected,shift_x,arithmetic,dipole_x,0.02375469999969937,440,0.028430800000023737,13,jacobi,0.8355269637041355,True,True,5,0.8251627037639649,0.8642739564219627,8.942789972554029e-10
96,1000.0,connected,shift_x,arithmetic,ones,0.024757600000157254,455,0.02860679999957938,14,jacobi,0.8654445796286644,True,True,5,0.8496702606521411,0.9233741773761743,9.979426983036418e-10
96,1000.0,connected,shift_x,arithmetic,dipole_y,0.02434739999989688,451,0.02920910000011645,14,jacobi,0.8335552961166147,True,True,5,0.7292893268296201,0.89836793054014,9.983137773360147e-10
192,1000.0,connected,shift_x,harmonic,ones,0.1939671999998609,904,0.10539829999925132,14,amg0,1.8403256978645643,True,True,0,1.7767754499730721,2.8523311997878986,2.7971373794493682e-09
192,1000.0,connected,shift_x,harmonic,dipole_x,0.17461290000028384,885,0.10315979999995761,14,amg0,1.6926448093187034,True,True,0,1.4880786060361428,1.8263021752429611,9.793492952124553e-10
192,1000.0,connected,shift_x,harmonic,random,0.17721230000006472,869,0.10220529999969585,12,amg0,1.7338856204188244,True,False,1,0.7383050757014722,1.9293823314575513,9.57401449347267e-10
192,1000.0,connected,shift_x,harmonic,dipole_y,0.19168720000106987,898,0.11385379999956058,14,amg0,1.683625842982928,True,True,0,1.4774641868700331,2.2913678980369765,9.601369177774057e-10
128,1000.0,connected,shift_x,arithmetic,dipole_y,0.05903209999996761,606,0.051001199999518576,14,amg0,1.1574649224042737,True,True,0,1.1387928127305844,1.226663617641419,9.157119695430457e-10
128,1000.0,connected,shift_x,arithmetic,dipole_x,0.058069800000339455,590,0.04946920000020327,13,amg0,1.1738576730592134,True,True,0,1.1034816775898177,1.1786506884241745,9.147381255022884e-10
128,1000.0,connected,shift_x,arithmetic,random,0.05644250000023021,585,0.04926679999971384,12,amg0,1.1456498088075144,True,True,0,1.096416370681752,1.197276761482684,9.327654222058994e-10
128,1000.0,connected,shift_x,arithmetic,ones,0.057575200000428595,609,0.04976339999939228,13,amg0,1.156978823816936,True,True,0,1.1100864374989448,1.2530494509384533,1.488814685406063e-09
192,1000.0,disconnected,transpose,arithmetic,dipole_y,0.09395589999985532,494,0.1063572999992175,17,jacobi,0.8833986947820843,True,True,5,0.8117157919638788,0.9740804732940639,1.2958982200994546e-09
192,1000.0,disconnected,transpose,arithmetic,dipole_x,0.0737637000001996,404,0.10322049999922456,17,jacobi,0.7146225798242961,True,True,5,0.6825283322849522,0.7312946556212057,9.682781469450217e-10
192,1000.0,disconnected,transpose,arithmetic,ones,0.11171470000044792,555,0.10508159999972122,17,amg0,1.0631233251182348,True,False,1,0.9822269508798201,1.120920313353892,2.1865666575878597e-09
192,1000.0,disconnected,transpose,arithmetic,random,0.17045520000010583,947,0.09733050000068033,15,amg0,1.7513030344949874,True,True,0,1.6792747580059901,1.9683992900486456,9.76147875336899e-10
