geometry,average,n,contrast,method,mode,eigenvalue,lambda_max,condition,eigen_residual,reflection_parity,overlap_ones,overlap_random,overlap_dipole,energy_fraction
connected,arithmetic,64,10000.0,jacobi,0,7.46514758580808e-07,1.9999992534852398,2679115.49034532,2.0951633741421573e-16,0.7359838636158471,0.00029312434834004054,1.7045721211647427e-09,4.309329157097544e-07,
connected,arithmetic,64,10000.0,jacobi,1,0.0022313795451037515,1.9999992534852398,2679115.49034532,3.1800048301791603e-16,0.4496666131789104,9.471444071991223e-05,1.9547098106378936e-07,8.84634519789947e-06,
connected,arithmetic,64,10000.0,jacobi,2,0.003524646028369392,1.9999992534852398,2679115.49034532,3.896743691032672e-16,0.169873803404892,0.4177978284524903,6.9298012006799526e-06,0.3952400138624677,
connected,arithmetic,64,10000.0,jacobi,3,0.0038956362631473044,1.9999992534852398,2679115.49034532,3.4786587084106814e-16,-0.16754994303594856,0.287423973925409,0.000574187862605115,0.5581701669220149,
connected,arithmetic,64,10000.0,jacobi,4,0.005178448077807998,1.9999992534852398,2679115.49034532,4.779090054830111e-16,0.5614432631352029,0.007467808485522525,6.136330609387216e-06,0.013133186201946045,
connected,arithmetic,64,10000.0,jacobi,5,0.005544071135685165,1.9999992534852398,2679115.49034532,9.055446461601468e-16,-0.5662951207603756,0.0003385121659775685,0.0005426890592150319,0.0006061906594196554,
connected,arithmetic,64,10000.0,jacobi,6,0.007908294409770011,1.9999992534852398,2679115.49034532,1.4541867449843769e-15,0.9079183724223447,0.07493300518696963,0.00031022213680101504,0.00012498504375174237,
connected,arithmetic,64,10000.0,jacobi,7,0.008489010141780821,1.9999992534852398,2679115.49034532,1.696762851326471e-13,-0.9089397718855602,0.0036558124381209766,4.162704204843918e-05,0.0004016726219931934,
connected,arithmetic,64,10000.0,amg0,0,0.3543079432500325,0.9999999995024237,2.8224035575649826,2.6129891389022416e-12,0.9847740418286208,,,,
connected,arithmetic,64,10000.0,amg0,1,0.5732195335565647,0.9999999995024237,2.8224035575649826,1.6794325051880934e-12,-0.04750280890413896,,,,
connected,arithmetic,64,10000.0,amg0,2,0.5993520643479556,0.9999999995024237,2.8224035575649826,8.050387970021791e-13,0.19597402460371566,,,,
connected,arithmetic,64,10000.0,amg0,3,0.6461688632487776,0.9999999995024237,2.8224035575649826,2.4483527495422255e-12,-0.18694049763844703,,,,
connected,arithmetic,64,10000.0,coarse_energy,1,,,,,,,,,0.8604905726501918
connected,harmonic,64,10000.0,jacobi,0,7.940708563371517e-07,1.999999205929148,2518665.9225281724,1.9630908379805292e-16,0.6864414082501088,0.0002995731634988304,1.642076626366035e-09,4.5870299800747027e-07,
connected,harmonic,64,10000.0,jacobi,1,0.0025366596794629023,1.999999205929148,2518665.9225281724,3.185413173890695e-16,0.3379174280971181,0.00023264029476905947,2.9393592393645107e-07,6.958752615341786e-06,
connected,harmonic,64,10000.0,jacobi,2,0.00341457204829553,1.999999205929148,2518665.9225281724,4.280288664420712e-16,0.22329946127848785,0.43886071982827823,3.3639900768724718e-06,0.3709990422813948,
connected,harmonic,64,10000.0,jacobi,3,0.0037724776917425766,1.999999205929148,2518665.9225281724,3.6936071038016885e-16,-0.2212956052888199,0.26986210202063216,0.0005362327097728695,0.5890358663848926,
connected,harmonic,64,10000.0,jacobi,4,0.005046809797263915,1.999999205929148,2518665.9225281724,3.805105047582172e-16,0.6667896118997697,0.00690704302112431,1.4032527752707384e-05,0.011911980554767401,
connected,harmonic,64,10000.0,jacobi,5,0.005432326467382724,1.999999205929148,2518665.9225281724,8.893464901213232e-16,-0.6727255769073993,0.00044813572098363554,0.000552987951711923,0.0008168882058054375,
connected,harmonic,64,10000.0,jacobi,6,0.0077320357689705695,1.999999205929148,2518665.9225281724,6.824312832880289e-16,0.9404052635919008,0.07224436203173076,0.00028616518549640806,0.00010856414319608235,
connected,harmonic,64,10000.0,jacobi,7,0.008403386018332912,1.999999205929148,2518665.9225281724,1.2533781846643359e-13,-0.9421883578967747,0.002181928840448109,5.1253560035529065e-05,0.0003811398043934135,
connected,harmonic,64,10000.0,amg0,0,0.33169146554871487,0.9999999994841783,3.01484995349484,5.901327175727354e-12,0.9861364521027951,,,,
connected,harmonic,64,10000.0,amg0,1,0.6158296423492919,0.9999999994841783,3.01484995349484,2.208202986952743e-13,-0.6522900554906919,,,,
connected,harmonic,64,10000.0,amg0,2,0.64945965064858,0.9999999994841783,3.01484995349484,6.058307379133405e-13,0.5274638981300531,,,,
connected,harmonic,64,10000.0,amg0,3,0.688737174438663,0.9999999994841783,3.01484995349484,2.4032770687813848e-12,0.5544457284697759,,,,
connected,harmonic,64,10000.0,coarse_energy,1,,,,,,,,,0.7508973003676623
disconnected,arithmetic,64,10000.0,jacobi,0,7.803316141728206e-07,1.994402217590231,2555839.3141669245,2.568767401207735e-16,0.9999999999999993,0.0003127509645771677,9.327787517057407e-10,6.521594348928094e-35,
disconnected,arithmetic,64,10000.0,jacobi,1,1.8961996739906132e-06,1.994402217590231,2555839.3141669245,3.055482117190684e-16,0.9999999999999996,8.217610300081115e-27,2.225217865246701e-08,3.0073814150595e-35,
disconnected,arithmetic,64,10000.0,jacobi,2,0.003794930677279373,1.994402217590231,2555839.3141669245,2.979138894312603e-16,1.0000000000000013,0.6956735525692868,0.00018698926733143673,1.2991484379030142e-27,
disconnected,arithmetic,64,10000.0,jacobi,3,0.003840033420337426,1.994402217590231,2555839.3141669245,4.767840805798464e-16,-1.0000000000000004,9.450979624785605e-28,0.0003549100506328393,0.9637375805946646,
disconnected,arithmetic,64,10000.0,jacobi,4,0.005425839507762355,1.994402217590231,2555839.3141669245,5.002046460527931e-16,0.9999999999999999,7.879872696716986e-31,0.00019753244991054948,9.383083641270158e-33,
disconnected,arithmetic,64,10000.0,jacobi,5,0.005597782409763606,1.994402217590231,2555839.3141669245,1.6058903492843534e-15,-1.0000000000000007,3.29120305493353e-31,0.00034103673556934374,2.1209358354554886e-30,
