n,contrast,geometry,average,rhs,repeat,method,order,seed,high_nodes,mean,tv,grad,components,setup,solve,total,iterations,info,residual,accepted,levels,complexity
64,1000000.0,disconnected,harmonic,ones,1,amg0,0,732,192,46875.953125,1269840.0,615.4495956687256,2,0.008222399999795016,0.008206499999687367,0.016428899999482383,16,0,6.00671615027233e-08,True,4,1.3290638836179633
64,1000000.0,disconnected,harmonic,dipole,0,amg0,1,731,192,46875.953125,1269840.0,615.4495956687256,2,0.008328400000209513,0.007737300000371761,0.016065700000581273,16,0,6.459003075189469e-09,True,4,1.3290638836179633
64,1000000.0,disconnected,harmonic,ones,1,amg025,2,732,192,46875.953125,1269840.0,615.4495956687256,2,0.008720099999663944,0.014611300000069605,0.02333139999973355,35,0,7.184842198078436e-08,True,3,1.3134092346616066
64,1000000.0,disconnected,harmonic,random,0,jacobi,3,731,192,46875.953125,1269840.0,615.4495956687256,2,5.2600000344682485e-05,0.011984400000073947,0.01203700000041863,393,0,9.283485016951348e-09,True,0,0.0
64,1000000.0,disconnected,harmonic,dipole,0,jacobi,4,731,192,46875.953125,1269840.0,615.4495956687256,2,3.9000000469968654e-05,0.004014800000732066,0.004053800001202035,126,0,9.10830844128186e-09,True,0,0.0
64,1000000.0,disconnected,harmonic,ones,1,cg,5,732,192,46875.953125,1269840.0,615.4495956687256,2,6.000000212225132e-07,0.07951239999965765,0.07951299999967887,2754,0,7.337922108607839e-07,False,0,0.0
64,1000000.0,disconnected,harmonic,dipole,1,amg0,6,732,192,46875.953125,1269840.0,615.4495956687256,2,0.011772699999710312,0.00780890000078216,0.019581600000492472,16,0,6.712483569664559e-09,True,4,1.3290638836179633
64,1000000.0,disconnected,harmonic,random,1,cg,7,732,192,46875.953125,1269840.0,615.4495956687256,2,9.000004865811206e-07,0.12210129999948549,0.12210219999997207,4261,0,8.8321462312704e-09,True,0,0.0
64,1000000.0,disconnected,harmonic,ones,1,jacobi,8,732,192,46875.953125,1269840.0,615.4495956687256,2,4.6299999667098746e-05,0.0075421000001369976,0.007588399999804096,204,0,1.4298830930295355e-07,False,0,0.0
64,1000000.0,disconnected,harmonic,ones,0,amg0,9,731,192,46875.953125,1269840.0,615.4495956687256,2,0.010723800000050687,0.007863300000281015,0.018587100000331702,16,0,5.997860704588331e-08,True,4,1.3290638836179633
64,1000000.0,disconnected,harmonic,random,1,amg025,10,732,192,46875.953125,1269840.0,615.4495956687256,2,0.0071895999999469495,0.014136199999484234,0.021325799999431183,34,0,6.6389225783873e-09,True,3,1.3134092346616066
64,1000000.0,disconnected,harmonic,random,0,amg0,11,731,192,46875.953125,1269840.0,615.4495956687256,2,0.00859050000053685,0.007284600000275532,0.01587510000081238,15,0,3.708502161182252e-09,True,4,1.3290638836179633
64,1000000.0,disconnected,harmonic,ones,0,cg,12,731,192,46875.953125,1269840.0,615.4495956687256,2,8.999995770864189e-07,0.07808370000020659,0.07808459999978368,2754,0,7.337922108607839e-07,False,0,0.0
