n,contrast,geometry,average,rhs,method,count,iterations,median_total,all_accepted,max_residual
64,1000000.0,disconnected,harmonic,ones,amg0,2,16.0,0.017507999999907042,True,6.00671615027233e-08
64,1000000.0,disconnected,harmonic,dipole,amg0,2,16.0,0.017823650000536873,True,6.712483569664559e-09
64,1000000.0,disconnected,harmonic,ones,amg025,2,35.0,0.023006350000287057,True,7.225139236469206e-08
64,1000000.0,disconnected,harmonic,random,jacobi,2,393.0,0.013644950000070821,True,9.283485016951348e-09
64,1000000.0,disconnected,harmonic,dipole,jacobi,2,126.0,0.004000350000751496,True,9.10830844128186e-09
64,1000000.0,disconnected,harmonic,ones,cg,2,2754.0,0.07879879999973127,False,7.337922108607839e-07
64,1000000.0,disconnected,harmonic,random,cg,2,4261.0,0.12292604999993273,True,8.8321462312704e-09
64,1000000.0,disconnected,harmonic,ones,jacobi,2,204.0,0.006939499999589316,False,1.4298830930295355e-07
64,1000000.0,disconnected,harmonic,random,amg025,2,34.0,0.021589799999674142,True,6.6389225783873e-09
64,1000000.0,disconnected,harmonic,random,amg0,2,15.0,0.015932650000650028,True,3.800472655757325e-09
64,1000000.0,disconnected,harmonic,dipole,cg,2,2106.0,0.0608673000001545,True,8.37366218744511e-09
64,1000000.0,disconnected,harmonic,dipole,amg025,2,35.0,0.02265735000037239,True,1.794132672184546e-09
64,10000.0,connected,harmonic,dipole,cg,2,3684.0,0.10786449999932302,True,9.263588275589398e-09
64,10000.0,connected,harmonic,ones,amg025,2,25.0,0.017403400000148395,True,5.038844830204984e-09
64,10000.0,connected,harmonic,dipole,jacobi,2,291.0,0.01350064999951428,True,9.619221781759218e-09
64,10000.0,connected,harmonic,random,jacobi,2,290.0,0.013191649999498622,True,9.48507642580556e-09
64,10000.0,connected,harmonic,dipole,amg0,2,12.0,0.01365135000060036,True,1.4335435097871938e-09
64,10000.0,connected,harmonic,ones,jacobi,2,296.0,0.009982550000131596,True,9.126522441034038e-09
64,10000.0,connected,harmonic,random,amg0,2,11.0,0.013934399999925517,True,6.115448726074809e-10
64,10000.0,connected,harmonic,random,amg025,2,24.0,0.017581650000010995,True,7.123869082187077e-09
64,10000.0,connected,harmonic,random,cg,2,3820.0,0.12217554999961067,True,9.383199489713535e-09
64,10000.0,connected,harmonic,ones,amg0,2,12.0,0.0140764500001751,True,1.956577727155105e-09
64,10000.0,connected,harmonic,ones,cg,2,3817.0,0.12371379999967758,True,1.1262248089381687e-08
64,10000.0,connected,harmonic,dipole,amg025,2,25.0,0.01874744999986433,True,2.6885458822172643e-09
128,1000000.0,disconnected,arithmetic,dipole,cg,2,8000.0,0.6732809999998608,False,0.00019899497465346462
128,1000000.0,disconnected,arithmetic,dipole,jacobi,2,256.0,0.024474699999700533,True,9.035338666289224e-09
128,1000000.0,disconnected,arithmetic,ones,amg0,2,19.0,0.053526700000020355,False,2.654127862499888e-07
128,1000000.0,disconnected,arithmetic,random,amg0,2,17.0,0.051216849999946135,True,3.379065296021039e-09
128,1000000.0,disconnected,arithmetic,random,cg,2,8000.0,0.7069879999999102,False,0.139507466201072
128,1000000.0,disconnected,arithmetic,random,amg025,2,68.0,0.12102200000072116,True,4.595736749641064e-09
128,1000000.0,disconnected,arithmetic,ones,amg025,2,70.5,0.12638949999973192,False,4.263713128723988e-07
128,1000000.0,disconnected,arithmetic,ones,jacobi,2,432.0,0.0406297500007895,False,8.118401708541014e-07
128,1000000.0,disconnected,arithmetic,ones,cg,2,8000.0,0.6406750500004819,False,0.008764504703833434
128,1000000.0,disconnected,arithmetic,random,jacobi,2,795.0,0.07314909999968222,True,9.22804693687224e-09
128,1000000.0,disconnected,arithmetic,dipole,amg025,2,52.0,0.10731729999997697,True,9.146080360382807e-09
