n,contrast,geometry,shift,rhs,method,repeat,order,seed,setup,solve,total,iterations,info,residual,accepted,complexity,levels
192,1000.0,connected,0,odd_x,amg0,0,0,12401,0.045557200000985176,0.05224920000000566,0.09780640000099083,15,0,3.126223512270577e-10,True,1.3386725269834205,5
192,1000.0,connected,0,odd_x,jacobi,0,1,12401,0.000246300000071642,0.18000279999978375,0.1802490999998554,886,0,1.0046020137480822e-09,True,0.0,0
192,1000.0,connected,0,odd_x,amg025,0,2,12401,0.04452499999933934,0.2650884999984555,0.30961349999779486,78,0,9.598166760398232e-10,True,1.3043896739735172,4
192,1000.0,connected,0,odd_x,rs025,0,3,12401,0.03363960000024235,0.04576030000134779,0.07939990000159014,12,0,1.898322153313382e-10,True,2.202642706131078,8
192,1000.0,connected,0,random,amg025,0,4,12401,0.04557899999963411,0.2599772000012308,0.3055562000008649,75,0,8.315507206975642e-10,True,1.3043896739735172,4
192,1000.0,connected,0,random,jacobi,0,5,12401,0.0004626000009011477,0.22814280000056897,0.22860540000147012,870,0,9.600083569394741e-10,True,0.0,0
192,1000.0,connected,0,random,rs025,0,6,12401,0.033936899999389425,0.0415396000007604,0.07547650000014983,11,0,8.875746874627022e-11,True,2.202642706131078,8
192,1000.0,connected,0,random,amg0,0,7,12401,0.04436329999953159,0.04633070000090811,0.0906940000004397,13,0,4.3956982260509087e-10,True,1.3386725269834205,5
192,1000.0,connected,0,random,jacobi,1,0,12402,0.00032559999999648426,0.16921759999968344,0.16954319999967993,870,0,9.600083569394741e-10,True,0.0,0
192,1000.0,connected,0,random,amg025,1,1,12402,0.04710189999968861,0.24396929999966233,0.29107119999935094,75,0,8.330099368055747e-10,True,1.3043896739735172,4
192,1000.0,connected,0,random,rs025,1,2,12402,0.030516299999362673,0.038753700000597746,0.06926999999996042,11,0,8.875746874627022e-11,True,2.202642706131078,8
192,1000.0,connected,0,odd_x,amg025,1,3,12402,0.03951410000081523,0.24438980000013544,0.28390390000095067,78,0,9.607632613447865e-10,True,1.3043896739735172,4
192,1000.0,connected,0,odd_x,jacobi,1,4,12402,0.0002469000010023592,0.15931520000049204,0.1595621000014944,886,0,1.0046020137480822e-09,True,0.0,0
192,1000.0,connected,0,odd_x,amg0,1,5,12402,0.04690689999915776,0.04948780000086117,0.09639470000001893,15,0,3.1347571387041873e-10,True,1.3386725269834205,5
192,1000.0,connected,0,odd_x,rs025,1,6,12402,0.03209419999984675,0.04131959999904211,0.07341379999888886,12,0,1.898322153313382e-10,True,2.202642706131078,8
192,1000.0,connected,0,random,amg0,1,7,12402,0.043399599999247584,0.04370329999983369,0.08710289999908127,13,0,4.4045268294988174e-10,True,1.3386725269834205,5
192,1000.0,connected,0,odd_x,amg025,2,0,12403,0.043309700000463636,0.2541333000008308,0.2974430000012944,78,0,9.621348996791984e-10,True,1.3043896739735172,4
192,1000.0,connected,0,random,amg025,2,1,12403,0.042298599999412545,0.24216820000037842,0.28446679999979096,75,0,8.336706265569348e-10,True,1.3043896739735172,4
192,1000.0,connected,0,odd_x,jacobi,2,2,12403,0.00030669999978272244,0.15739659999962896,0.15770329999941168,886,0,1.0046020137480822e-09,True,0.0,0
192,1000.0,connected,0,random,jacobi,2,3,12403,0.0002488000009179814,0.15546399999948335,0.15571280000040133,870,0,9.600083569394741e-10,True,0.0,0
192,1000.0,connected,0,odd_x,rs025,2,4,12403,0.03214599999955681,0.0423240000000078,0.0744699999995646,12,0,1.898322153313382e-10,True,2.202642706131078,8
192,1000.0,connected,0,random,rs025,2,5,12403,0.03070079999997688,0.038932800000111456,0.06963360000008834,11,0,8.875746874627022e-11,True,2.202642706131078,8
192,1000.0,connected,0,odd_x,amg0,2,6,12403,0.04280479999943054,0.050205499999719905,0.09301029999915045,15,0,3.1355371249663773e-10,True,1.3386725269834205,5
192,1000.0,connected,0,random,amg0,2,7,12403,0.04192239999974845,0.041991500000222004,0.08391389999997045,13,0,4.4013556259105715e-10,True,1.3386725269834205,5
192,1000.0,connected,0,odd_x,amg025,3,0,12404,0.03932329999952344,0.2531858000002103,0.29250909999973373,78,0,9.579901832120146e-10,True,1.3043896739735172,4
192,1000.0,connected,0,random,amg0,3,1,12404,0.047898200000418,0.044781099999454455,0.09267929999987246,13,0,4.397831691535329e-10,True,1.3386725269834205,5
192,1000.0,connected,0,odd_x,amg0,3,2,12404,0.04364759999953094,0.050706199999694945,0.09435379999922588,15,0,3.137297931238127e-10,True,1.3386725269834205,5
192,1000.0,connected,0,odd_x,jacobi,3,3,12404,0.00036290000025474,0.16213129999960074,0.16249419999985548,886,0,1.0046020137480822e-09,True,0.0,0
192,1000.0,connected,0,random,rs025,3,4,12404,0.043171600000277977,0.06872790000124951,0.11189950000152749,11,0,8.875746874627022e-11,True,2.202642706131078,8
192,1000.0,connected,0,random,jacobi,3,5,12404,0.0005813000007037772,0.2138751999991655,0.21445649999986927,870,0,9.600083569394741e-10,True,0.0,0
192,1000.0,connected,0,random,amg025,3,6,12404,0.045687399999224,0.2546910000000935,0.3003783999993175,75,0,8.316344540365372e-10,True,1.3043896739735172,4
192,1000.0,connected,0,odd_x,rs025,3,7,12404,0.031602600000042,0.043907300001592375,0.07550990000163438,12,0,1.898322153313382e-10,True,2.202642706131078,8
192,1000.0,connected,0,random,jacobi,4,0,12405,0.0002868999999918742,0.17681110000012268,0.17709800000011455,870,0,9.600083569394741e-10,True,0.0,0
192,1000.0,connected,0,random,rs025,4,1,12405,0.038144500000271364,0.04062090000115859,0.07876540000142995,11,0,8.875746874627022e-11,True,2.202642706131078,8
192,1000.0,connected,0,odd_x,amg0,4,2,12405,0.046278300000267336,0.05183779999970284,0.09811609999997017,15,0,3.131001112753939e-10,True,1.3386725269834205,5
192,1000.0,connected,0,random,amg0,4,3,12405,0.04678860000058194,0.046535100000255625,0.09332370000083756,13,0,4.3935457589494857e-10,True,1.3386725269834205,5
192,1000.0,connected,0,odd_x,rs025,4,4,12405,0.03229000000101223,0.04340069999852858,0.07569069999954081,12,0,1.898322153313382e-10,True,2.202642706131078,8
192,1000.0,connected,0,odd_x,jacobi,4,5,12405,0.00035879999995813705,0.16361420000066573,0.16397300000062387,886,0,1.0046020137480822e-09,True,0.0,0
192,1000.0,connected,0,random,amg025,4,6,12405,0.06341369999972812,0.23795260000042617,0.3013663000001543,75,0,8.320342549808837e-10,True,1.3043896739735172,4
192,1000.0,connected,0,odd_x,amg025,4,7,12405,0.04500890000053914,0.25557900000058,0.3005879000011191,78,0,9.586273686263223e-10,True,1.3043896739735172,4
192,1000.0,disconnected,1,random,jacobi,0,0,12401,0.00013639999997394625,0.1714191999999457,0.17155559999991965,953,0,9.762198060529e-10,True,0.0,0
192,1000.0,disconnected,1,random,amg0,0,1,12401,0.04787650000071153,0.05393719999847235,0.10181369999918388,14,0,3.2607142982169786e-10,True,1.3386725269834205,5
192,1000.0,disconnected,1,random,rs025,0,2,12401,0.034343699999226374,0.04466860000138695,0.07901230000061332,11,0,1.6185291937575478e-10,True,2.2042172026260154,8
192,1000.0,disconnected,1,odd_x,amg0,0,3,12401,0.049530100000993116,0.05365270000038436,0.10318280000137747,16,0,1.6404962422000418e-10,True,1.3386725269834205,5
192,1000.0,disconnected,1,odd_x,amg025,0,4,12401,0.04213779999918188,0.2749742999985756,0.31711209999775747,84,0,6.250837486346366e-10,True,1.3033159007455213,4
192,1000.0,disconnected,1,odd_x,jacobi,0,5,12401,0.00022960000023886096,0.14475710000078834,0.1449867000010272,677,0,9.746160329003246e-10,True,0.0,0
192,1000.0,disconnected,1,random,amg025,0,6,12401,0.048720000000685104,0.2724816000009014,0.3212016000015865,82,0,9.541536599582946e-10,True,1.3033159007455213,4
192,1000.0,disconnected,1,odd_x,rs025,0,7,12401,0.0326984999992419,0.049503400001412956,0.08220190000065486,12,0,3.9635736687167694e-10,True,2.2042172026260154,8
192,1000.0,disconnected,1,odd_x,amg025,1,0,12402,0.05416809999951511,0.30572639999991225,0.35989449999942735,83,0,9.991701314545846e-10,True,1.3033159007455213,4
192,1000.0,disconnected,1,odd_x,amg0,1,1,12402,0.04982400000153575,0.06097810000028403,0.11080210000181978,16,0,1.4827901944589687e-10,True,1.3386725269834205,5
192,1000.0,disconnected,1,random,rs025,1,2,12402,0.042015400000309455,0.05077590000109922,0.09279130000140867,11,0,1.6185291937575478e-10,True,2.2042172026260154,8
192,1000.0,disconnected,1,odd_x,jacobi,1,3,12402,0.0003125000002910383,0.1692204999999376,0.16953300000022864,677,0,9.746160329003246e-10,True,0.0,0
192,1000.0,disconnected,1,random,amg0,1,4,12402,0.06157739999980549,0.06841480000002775,0.12999219999983325,14,0,3.129470948620924e-10,True,1.3386725269834205,5
192,1000.0,disconnected,1,odd_x,rs025,1,5,12402,0.04584369999975024,0.05922709999867948,0.10507079999842972,12,0,3.9635736687167694e-10,True,2.2042172026260154,8
192,1000.0,disconnected,1,random,jacobi,1,6,12402,0.0003910000014002435,0.24595989999943413,0.24635090000083437,953,0,9.762198060529e-10,True,0.0,0
192,1000.0,disconnected,1,random,amg025,1,7,12402,0.07455509999999776,0.3511999000002106,0.4257550000002084,82,0,9.514343687611474e-10,True,1.3033159007455213,4
192,1000.0,disconnected,1,odd_x,jacobi,2,0,12403,0.0004673000003094785,0.13505240000085905,0.13551970000116853,677,0,9.746160329003246e-10,True,0.0,0
192,1000.0,disconnected,1,odd_x,amg025,2,1,12403,0.04858100000092236,0.2657214999999269,0.31430250000084925,84,0,6.2446686300883e-10,True,1.3033159007455213,4
192,1000.0,disconnected,1,random,rs025,2,2,12403,0.032226600000285544,0.03833449999910954,0.07056109999939508,11,0,1.6185291937575478e-10,True,2.2042172026260154,8
192,1000.0,disconnected,1,odd_x,rs025,2,3,12403,0.031348099999377155,0.042102200000954326,0.07345030000033148,12,0,3.9635736687167694e-10,True,2.2042172026260154,8
192,1000.0,disconnected,1,random,amg025,2,4,12403,0.0413700000008248,0.25172359999851324,0.29309359999933804,82,0,9.51759129654517e-10,True,1.3033159007455213,4
192,1000.0,disconnected,1,random,jacobi,2,5,12403,0.00040270000135933515,0.17962939999961236,0.1800321000009717,953,0,9.762198060529e-10,True,0.0,0
192,1000.0,disconnected,1,odd_x,amg0,2,6,12403,0.04264569999941159,0.05244270000002871,0.0950883999994403,16,0,1.6345021824617585e-10,True,1.3386725269834205,5
192,1000.0,disconnected,1,random,amg0,2,7,12403,0.043917400000282214,0.047918700000082026,0.09183610000036424,14,0,3.252707892381504e-10,True,1.3386725269834205,5
192,1000.0,disconnected,1,odd_x,amg0,3,0,12404,0.044418299999961164,0.05474239999966812,0.09916069999962929,16,0,1.6370725269481958e-10,True,1.3386725269834205,5
192,1000.0,disconnected,1,odd_x,jacobi,3,1,12404,0.00023319999854720663,0.1282269000002998,0.128460099998847,677,0,9.746160329003246e-10,True,0.0,0
192,1000.0,disconnected,1,random,amg0,3,2,12404,0.04768049999984214,0.047050000001036096,0.09473050000087824,14,0,3.256985223884481e-10,True,1.3386725269834205,5
192,1000.0,disconnected,1,random,rs025,3,3,12404,0.0333305999993172,0.039284299999053474,0.07261489999837067,11,0,1.6185291937575478e-10,True,2.2042172026260154,8
192,1000.0,disconnected,1,random,jacobi,3,4,12404,0.00022390000049199443,0.16417449999971723,0.16439840000020922,953,0,9.762198060529e-10,True,0.0,0
192,1000.0,disconnected,1,random,amg025,3,5,12404,0.040394199999354896,0.3081449999990582,0.3485391999984131,82,0,9.51278272912256e-10,True,1.3033159007455213,4
192,1000.0,disconnected,1,odd_x,amg025,3,6,12404,0.09368870000071183,0.3704533000000083,0.46414200000072015,83,0,9.999059536349857e-10,True,1.3033159007455213,4
192,1000.0,disconnected,1,odd_x,rs025,3,7,12404,0.03573289999985718,0.04812139999921783,0.08385429999907501,12,0,3.9635736687167694e-10,True,2.2042172026260154,8
192,1000.0,disconnected,1,odd_x,jacobi,4,0,12405,0.0003248999983043177,0.13820279999890772,0.13852769999721204,677,0,9.746160329003246e-10,True,0.0,0
192,1000.0,disconnected,1,odd_x,amg025,4,1,12405,0.05365459999848099,0.2797891999998683,0.3334437999983493,83,0,9.99319007167589e-10,True,1.3033159007455213,4
192,1000.0,disconnected,1,odd_x,rs025,4,2,12405,0.03235970000059751,0.041741999999430845,0.07410170000002836,12,0,3.9635736687167694e-10,True,2.2042172026260154,8
192,1000.0,disconnected,1,random,amg025,4,3,12405,0.04073249999964901,0.2500860999989527,0.2908185999986017,82,0,9.509041369078933e-10,True,1.3033159007455213,4
192,1000.0,disconnected,1,random,amg0,4,4,12405,0.04375310000068566,0.04524160000073607,0.08899470000142173,14,0,3.178650122779327e-10,True,1.3386725269834205,5
192,1000.0,disconnected,1,odd_x,amg0,4,5,12405,0.04386950000116485,0.051006400000915164,0.09487590000208002,16,0,1.530991780850704e-10,True,1.3386725269834205,5
192,1000.0,disconnected,1,random,rs025,4,6,12405,0.032085700000607176,0.03817679999883694,0.07026249999944412,11,0,1.6185291937575478e-10,True,2.2042172026260154,8
192,1000.0,disconnected,1,random,jacobi,4,7,12405,0.00021969999943394214,0.19467640000038955,0.1948960999998235,953,0,9.762198060529e-10,True,0.0,0
128,1000.0,disconnected,1,random,amg0,0,0,12401,0.026185599999735132,0.021823099999892293,0.048008699999627424,13,0,4.787322224440099e-10,True,1.3399006034788783,5
128,1000.0,disconnected,1,odd_x,amg025,0,1,12401,0.026215699999738717,0.08242609999979322,0.10864179999953194,56,0,4.974449845240348e-10,True,1.3107155535270552,4
128,1000.0,disconnected,1,odd_x,rs025,0,2,12401,0.01678639999954612,0.017839600001025246,0.034626000000571366,11,0,1.4261708449890175e-10,True,2.196079922916984,7
128,1000.0,disconnected,1,odd_x,jacobi,0,3,12401,0.00013080000098852906,0.037844599999516504,0.03797540000050503,450,0,9.092451541869095e-10,True,0.0,0
128,1000.0,disconnected,1,odd_x,amg0,0,4,12401,0.024470100001053652,0.024099599999317434,0.048569700000371085,15,0,2.218038220516127e-10,True,1.3399006034788783,5
128,1000.0,disconnected,1,random,amg025,0,5,12401,0.021784100001241313,0.0794594999988476,0.10124360000008892,55,0,6.348446182821406e-10,True,1.3107155535270552,4
128,1000.0,disconnected,1,random,rs025,0,6,12401,0.01698469999973895,0.01732380000066769,0.03430850000040664,10,0,8.609017564692545e-11,True,2.196079922916984,7
128,1000.0,disconnected,1,random,jacobi,0,7,12401,0.00012999999853491317,0.059435799999846495,0.05956579999838141,634,0,9.301557341646773e-10,True,0.0,0
128,1000.0,disconnected,1,random,amg0,1,0,12402,0.023242600000230595,0.020165899999483372,0.04340849999971397,13,0,4.844821483215669e-10,True,1.3399006034788783,5
128,1000.0,disconnected,1,odd_x,rs025,1,1,12402,0.016249799999059178,0.019064099999013706,0.035313899998072884,11,0,1.4261708449890175e-10,True,2.196079922916984,7
128,1000.0,disconnected,1,random,amg025,1,2,12402,0.021917500000199652,0.07806180000079621,0.09997930000099586,55,0,6.394907465488683e-10,True,1.3107155535270552,4
128,1000.0,disconnected,1,odd_x,amg025,1,3,12402,0.021111500000188244,0.07969770000090648,0.10080920000109472,56,0,4.984096075277572e-10,True,1.3107155535270552,4
128,1000.0,disconnected,1,random,jacobi,1,4,12402,0.00012539999988803174,0.05336390000047686,0.05348930000036489,634,0,9.301557341646773e-10,True,0.0,0
128,1000.0,disconnected,1,odd_x,amg0,1,5,12402,0.022262799999225535,0.022918299999219016,0.04518109999844455,15,0,2.2435420072127213e-10,True,1.3399006034788783,5
128,1000.0,disconnected,1,odd_x,jacobi,1,6,12402,0.00012599999899975955,0.03951189999861526,0.03963789999761502,450,0,9.092451541869095e-10,True,0.0,0
128,1000.0,disconnected,1,random,rs025,1,7,12402,0.016121900000143796,0.017055899999832036,0.03317779999997583,10,0,8.609017564692545e-11,True,2.196079922916984,7
128,1000.0,disconnected,1,odd_x,rs025,2,0,12403,0.016265100000964594,0.018863699999201344,0.03512880000016594,11,0,1.4261708449890175e-10,True,2.196079922916984,7
128,1000.0,disconnected,1,random,amg025,2,1,12403,0.02168300000084855,0.08013170000049286,0.10181470000134141,55,0,6.386650577051527e-10,True,1.3107155535270552,4
128,1000.0,disconnected,1,odd_x,jacobi,2,2,12403,0.0001314999990427168,0.0418599999993603,0.041991499998403015,450,0,9.092451541869095e-10,True,0.0,0
128,1000.0,disconnected,1,odd_x,amg025,2,3,12403,0.02124589999948512,0.08117829999901005,0.10242419999849517,56,0,4.982327749462311e-10,True,1.3107155535270552,4
128,1000.0,disconnected,1,odd_x,amg0,2,4,12403,0.023704899998847395,0.024766900000031455,0.04847179999887885,15,0,2.2173509035488842e-10,True,1.3399006034788783,5
128,1000.0,disconnected,1,random,amg0,2,5,12403,0.02512109999952372,0.02086770000096294,0.04598880000048666,13,0,4.782912040582343e-10,True,1.3399006034788783,5
128,1000.0,disconnected,1,random,jacobi,2,6,12403,0.0001739999988785712,0.056805899999744724,0.056979899998623296,634,0,9.301557341646773e-10,True,0.0,0
128,1000.0,disconnected,1,random,rs025,2,7,12403,0.01593979999961448,0.016246000001046923,0.0321858000006614,10,0,8.609017564692545e-11,True,2.196079922916984,7
128,1000.0,disconnected,1,random,rs025,3,0,12404,0.01740090000021155,0.01667749999978696,0.03407839999999851,10,0,8.609017564692545e-11,True,2.196079922916984,7
128,1000.0,disconnected,1,odd_x,amg0,3,1,12404,0.024653300000863965,0.02528340000026219,0.049936700001126155,15,0,2.2186812465079185e-10,True,1.3399006034788783,5
128,1000.0,disconnected,1,odd_x,rs025,3,2,12404,0.018118800000593183,0.018541700001151185,0.03666050000174437,11,0,1.4261708449890175e-10,True,2.196079922916984,7
128,1000.0,disconnected,1,random,jacobi,3,3,12404,0.00017630000002100132,0.05731770000056713,0.05749400000058813,634,0,9.301557341646773e-10,True,0.0,0
128,1000.0,disconnected,1,random,amg0,3,4,12404,0.022018300000127056,0.021103999999468215,0.04312229999959527,13,0,4.789226555773156e-10,True,1.3399006034788783,5
128,1000.0,disconnected,1,random,amg025,3,5,12404,0.02136640000026091,0.07988930000101391,0.10125570000127482,55,0,6.324353908101625e-10,True,1.3107155535270552,4
128,1000.0,disconnected,1,odd_x,jacobi,3,6,12404,0.00012559999959194101,0.03787299999930838,0.03799859999890032,450,0,9.092451541869095e-10,True,0.0,0
128,1000.0,disconnected,1,odd_x,amg025,3,7,12404,0.021622299998853123,0.07920800000101735,0.10083029999987048,56,0,4.962128681590393e-10,True,1.3107155535270552,4
128,1000.0,disconnected,1,random,rs025,4,0,12405,0.01661679999961052,0.016621200000372482,0.033237999999983,10,0,8.609017564692545e-11,True,2.196079922916984,7
128,1000.0,disconnected,1,odd_x,jacobi,4,1,12405,0.00012889999925391749,0.039487000000008265,0.03961589999926218,450,0,9.092451541869095e-10,True,0.0,0
128,1000.0,disconnected,1,odd_x,rs025,4,2,12405,0.017223000000740285,0.01819190000060189,0.035414900001342176,11,0,1.4261708449890175e-10,True,2.196079922916984,7
128,1000.0,disconnected,1,odd_x,amg0,4,3,12405,0.027139900001202477,0.024228100000982522,0.051368000002185,15,0,2.2423488551395221e-10,True,1.3399006034788783,5
128,1000.0,disconnected,1,random,amg025,4,4,12405,0.020852400000876514,0.07986089999940305,0.10071330000027956,55,0,6.298140932634201e-10,True,1.3107155535270552,4
128,1000.0,disconnected,1,random,amg0,4,5,12405,0.023526599999968312,0.02045410000027914,0.04398070000024745,13,0,4.856419376025708e-10,True,1.3399006034788783,5
128,1000.0,disconnected,1,random,jacobi,4,6,12405,0.00012720000086119398,0.05353290000130073,0.053660100002161926,634,0,9.301557341646773e-10,True,0.0,0
128,1000.0,disconnected,1,odd_x,amg025,4,7,12405,0.02089200000045821,0.07939009999972768,0.10028210000018589,56,0,4.954919558144437e-10,True,1.3107155535270552,4
192,1000.0,disconnected,0,random,rs025,0,0,12401,0.030801300001257914,0.03573659999892698,0.06653790000018489,10,0,1.8698166390610062e-10,True,2.204167130299321,8
192,1000.0,disconnected,0,odd_x,amg0,0,1,12401,0.04002480000053765,0.055235800000446034,0.09526060000098369,17,0,4.762632767533628e-10,True,1.3386725269834205,5
