n,contrast,motif,shift,rhs,method,repeat,order,seed,setup,solve,total,iterations,info,residual,accepted,complexity,levels
192,1000.0,two_by_eight,1,random,jacobi,0,0,13401,0.00040470000021741726,0.282982799999445,0.2833874999996624,953,0,9.762198060529e-10,True,0.0,0
192,1000.0,two_by_eight,1,odd_x,rs025,0,1,13401,0.056283500000063214,0.06574779999937164,0.12203129999943485,12,0,3.9635736687167694e-10,True,2.2042172026260154,8
192,1000.0,three_by_six,0,random,amg0,0,2,13401,0.07324599999992643,0.06580219999887049,0.13904819999879692,16,0,2.1057193277428694e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,0,random,rs025,0,3,13401,0.04269969999950263,0.05324540000037814,0.09594509999988077,10,0,1.8698166390610062e-10,True,2.204167130299321,8
192,1000.0,three_by_six,0,random,rs025,0,4,13401,0.05092289999993227,0.05147769999894081,0.10240059999887308,10,0,8.762562069413869e-10,True,2.1991932791810394,8
192,1000.0,three_by_six,1,odd_x,amg0,0,5,13401,0.07611569999971834,0.06846040000164066,0.144576100001359,16,0,3.7230997007903473e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,0,odd_x,amg0,0,6,13401,0.06918930000028922,0.06427840000105789,0.1334677000013471,17,0,4.800266403916266e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,1,random,jacobi,0,7,13401,0.0003105999985564267,0.22615480000058596,0.2264653999991424,952,0,9.485350330749907e-10,True,0.0,0
192,1000.0,three_by_six,1,random,rs025,0,8,13401,0.034519500000897096,0.04457650000040303,0.07909600000130013,11,0,8.916570637949889e-10,True,2.1999221097140316,8
192,1000.0,two_by_eight,1,odd_x,jacobi,0,9,13401,0.00039029999970807694,0.14511339999990014,0.14550369999960822,677,0,9.746160329003246e-10,True,0.0,0
192,1000.0,three_by_six,1,odd_x,jacobi,0,10,13401,0.00040980000085255597,0.15177460000086285,0.1521844000017154,677,0,9.86997938544521e-10,True,0.0,0
192,1000.0,two_by_eight,1,random,amg0,0,11,13401,0.05746809999982361,0.05420650000087335,0.11167460000069696,14,0,3.2557793445287796e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,0,odd_x,amg0,0,12,13401,0.06288929999936954,0.06423150000046007,0.12712079999982961,18,0,2.0475928793435373e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,0,random,jacobi,0,13,13401,0.0002950000016426202,0.21286800000052608,0.2131630000021687,949,0,9.941891616592456e-10,True,0.0,0
192,1000.0,two_by_eight,0,odd_x,rs025,0,14,13401,0.032422299998870585,0.04094420000001264,0.07336649999888323,11,0,1.93057044845583e-10,True,2.204167130299321,8
192,1000.0,three_by_six,0,random,jacobi,0,15,13401,0.0003768999995372724,0.19774630000028992,0.1981231999998272,951,0,9.931286841477768e-10,True,0.0,0
