n,n_unknowns,coefficient_case,method,threads,repeats,seconds_per_apply,applies_per_second,estimated_gbytes_per_second,max_abs_error
256,64516,smooth,numpy-vectorized,1,94,0.0021483787233901627,465.46727963400707,2.642647657132349,0.0
256,64516,smooth,numba-serial,1,5140,3.891190661639265e-05,25699.074832244896,145.90413304518583,0.0
256,64516,smooth,numba-parallel,1,4572,4.374934383301343e-05,22857.485676057066,129.77127203713178,0.0
256,64516,smooth,numba-parallel,2,7888,2.535676976992195e-05,39437.19996961892,223.90107460511422,0.0
256,64516,smooth,numba-parallel,4,7428,2.6928513735511695e-05,37135.35807515661,210.83257901875876,0.0
256,64516,smooth,numba-parallel,8,7496,2.6684111528885784e-05,37475.48420030741,212.76361380269887,0.0
256,64516,smooth,numba-parallel,16,3245,6.164702617682414e-05,16221.38263623079,92.09540754999777,0.0
512,260100,smooth,numpy-vectorized,1,17,0.01195207647020545,83.6674700411125,1.9150479882770157,0.0
512,260100,smooth,numba-serial,1,1073,0.00018645172410549984,5363.318600551909,122.75992678431254,0.0
512,260100,smooth,numba-parallel,1,905,0.00022100817684845702,4524.719466310468,103.56539892048704,0.0
512,260100,smooth,numba-parallel,2,1588,0.0001259598865904505,7939.03541094339,181.71499371400108,0.0
512,260100,smooth,numba-parallel,4,2369,8.442444067744011e-05,11844.911165247671,271.1158026791209,0.0
512,260100,smooth,numba-parallel,8,2339,8.571791363455587e-05,11666.172887307248,267.02469798299813,0.0
512,260100,smooth,numba-parallel,16,1328,0.0001506104668060946,6639.644781710046,151.9735014796049,0.0
1024,1044484,smooth,numpy-vectorized,1,5,0.04771472001448274,20.957893071498113,1.9263361908463759,0.0
1024,1044484,smooth,numba-serial,1,150,0.0013362146665652592,748.3827449450923,68.78729466146824,0.0
1024,1044484,smooth,numba-parallel,1,155,0.0012974709677960603,770.7301549094719,70.8413477306009,0.0
1024,1044484,smooth,numba-parallel,2,226,0.0008870154867500924,1127.3760322538087,103.62230803518767,0.0
1024,1044484,smooth,numba-parallel,4,311,0.0006441086814424376,1552.5330255766278,142.7004396124013,0.0
1024,1044484,smooth,numba-parallel,8,284,0.0007052119718011941,1418.013363337952,130.3361197417556,0.0
1024,1044484,smooth,numba-parallel,16,255,0.0007850698040177425,1273.7720835552607,117.07824136097169,0.0
2048,4186116,smooth,numpy-vectorized,1,5,0.1812970400089398,5.515809855200557,2.031904150127521,0.0
2048,4186116,smooth,numba-serial,1,38,0.005324960526961245,187.79481931120765,69.17951900954647,0.0
2048,4186116,smooth,numba-parallel,1,38,0.005320731578027143,187.9440797445352,69.23450330050098,0.0
2048,4186116,smooth,numba-parallel,2,53,0.0038119226404167007,262.33480957805716,96.63842704838594,0.0
2048,4186116,smooth,numba-parallel,4,54,0.003724781481583637,268.47212512848876,98.89928035278446,0.0
2048,4186116,smooth,numba-parallel,8,48,0.004246181248163339,235.5057265707968,86.75517752788811,0.0
2048,4186116,smooth,numba-parallel,16,45,0.0045268933340493174,220.90204610708102,81.37549988845988,0.0
