descriptor,response,n_group,spearman_rho,fisher_z_diagnostic_low,fisher_z_diagnostic_high,case_resampling_low,case_resampling_high,permutation_p,n_permutations,n_case_resamples,n_samples,description
contrast_observed,cg_iterations,all,0.6326129568576299,0.3961718826471339,0.7903716822100227,,,0.0002,4999,0,39,Observed coefficient contrast vs Unpreconditioned CG iterations
contrast_observed,selected_speedup_vs_cg,all,0.6802600364253222,0.46442399897573683,0.8198168190166968,,,0.0002,4999,0,39,Observed coefficient contrast vs Selected-solver speedup over CG
grad_logk_inf,cg_iterations,all,0.8182510508636158,0.6776963220882911,0.9011231843068248,,,0.0002,4999,0,39,Discrete maximum log-conductivity gradient vs Unpreconditioned CG iterations
grad_logk_inf,selected_speedup_vs_cg,all,0.8032614289391431,0.6533247521343474,0.8925645347081034,,,0.0002,4999,0,39,Discrete maximum log-conductivity gradient vs Selected-solver speedup over CG
total_variation_proxy,cg_iterations,all,0.4322737484837543,0.13519605137038176,0.6580407886406292,,,0.0066,4999,0,39,Discrete total-variation proxy vs Unpreconditioned CG iterations
total_variation_proxy,selected_speedup_vs_cg,all,0.4158736671595463,0.11551378406952119,0.6465531023047811,,,0.0114,4999,0,39,Discrete total-variation proxy vs Selected-solver speedup over CG
condition_estimate,cg_iterations,all,0.866663478430494,0.7585771539803585,0.9283310825381251,,,0.0002,4999,0,39,Matched spectral condition estimate vs Unpreconditioned CG iterations
condition_estimate,selected_speedup_vs_cg,all,0.9403962133022247,0.8885098413365866,0.9685374964701898,,,0.0002,4999,0,39,Matched spectral condition estimate vs Selected-solver speedup over CG
contrast_observed,cg_iterations,64,0.8939803125353484,0.6759454879646727,0.9681057521286648,0.6292366771530848,0.9844293390566464,0.0002,4999,1999,13,Observed coefficient contrast vs Unpreconditioned CG iterations
contrast_observed,selected_speedup_vs_cg,64,0.8157570351885054,0.4809398193740588,0.9429254890342524,0.4608663040735055,0.96046384442624,0.002,4999,1999,13,Observed coefficient contrast vs Selected-solver speedup over CG
grad_logk_inf,cg_iterations,64,0.8303519364560459,0.5149726562889795,0.9477366299304442,0.4280178349315643,0.9823343928927556,0.001,4999,1999,13,Discrete maximum log-conductivity gradient vs Unpreconditioned CG iterations
grad_logk_inf,selected_speedup_vs_cg,64,0.7420753186268316,0.32326367295375164,0.9177981221073626,0.32490485781668743,0.9551945569314076,0.0048,4999,1999,13,Discrete maximum log-conductivity gradient vs Selected-solver speedup over CG
total_variation_proxy,cg_iterations,64,0.6538461538461539,0.16078530465149604,0.8857363974286148,0.061790733992712135,0.9605744269538802,0.0184,4999,1999,13,Discrete total-variation proxy vs Unpreconditioned CG iterations
