coefficient_case,n,method,mode,repeat,order,seed,setup_seconds,solve_seconds,total_seconds,iterations,info,residual_norm,accepted,solution_sha256
constant,256,cg,monitored,0,0,200920,3.00002284348011e-07,0.2649268999812193,0.26492719998350367,466,0,9.709840683962918e-09,True,ec32a37a5ef3edb3e782a68e65d652eb4aea84614468e37faee4431f0ccef35d
inclusion_c100,64,amg-pcg,count-only,0,1,200920,0.007215099991299212,0.004983800055924803,0.012198900047224015,10,0,2.1847066183239094e-09,True,e69339ca47e4e74a6e6c1e8131d2b48577adef535aff8f124f4a844b754f49a3
constant,128,jacobi-pcg,count-only,0,2,200920,0.00010459998156875372,0.021345799963455647,0.0214503999450244,235,0,9.504054098938157e-09,True,f4ec07c5bd1f4382a4a01680ded95a64c68eb941cdfcc20d9061420ea474b93b
constant,128,jacobi-pcg,monitored,0,3,200920,0.00020539999241009355,0.05839889997150749,0.05860429996391758,235,0,9.504054098938157e-09,True,f4ec07c5bd1f4382a4a01680ded95a64c68eb941cdfcc20d9061420ea474b93b
checkerboard_c100,128,amg-pcg,count-only,0,4,200920,0.03652750002220273,0.02938469999935478,0.06591220002155751,17,0,2.270764376125674e-09,True,7171943f59625b98725d60d254ebd2d628e8cb292f0f165f54c3bafea9fd51dd
checkerboard_c100,256,cg,count-only,0,5,200920,3.00002284348011e-07,0.717982700036373,0.7179830000386573,2268,0,9.539337493402757e-09,True,3b659ef6136dc9e2825d50c9a169b3c6cc8a7974190c33e87aa52033c8d1b75b
inclusion_c100,128,cg,monitored,0,6,200920,3.00002284348011e-07,0.25483859999803826,0.2548389000003226,1957,0,9.159413513446195e-09,True,bca1848e521fc289b28a433008e24b94805651a12f1c4017f779d6e9558d0363
checkerboard_c100,64,jacobi-pcg,count-only,0,7,200920,0.00012600002810359,0.005416499974671751,0.005542500002775341,171,0,8.56726025116485e-09,True,281028f86ce07d0af18d72207fbb32d28fb188bb2ee72474df1e863e6d5cfba8
inclusion_c100,256,amg-pcg,count-only,0,8,200920,0.09925999998813495,0.09537910000653937,0.19463909999467432,12,0,4.444148283539973e-09,True,d56e2105bb348a08bd6f499b2c7f906cc33f16c8edcdd04a757001c2f233fe83
constant,64,jacobi-pcg,monitored,0,9,200920,0.0001409000251442194,0.005831699992995709,0.005972600018139929,116,0,7.1195407181813896e-09,True,4cefd67782ebd94901a29834d2df1799372919f6498b2b63ff2d006d5ec0908d
