coefficient_case,family,contrast_target,contrast_observed,grad_logk_inf,total_variation_proxy,n,n_unknowns,method,tolerance,converged,iterations,setup_seconds,solve_seconds,total_seconds,residual_norm,memory_estimate_mb,best_method,is_best,speedup_vs_cg
constant,constant,1.0,1.0,0.0,0.0,64,3844,cg,1e-08,True,116,5.00003807246685e-07,0.009842899977229536,0.009843399981036782,7.1195348044133394e-09,0.3197669982910156,jacobi-pcg,False,1.0
constant,constant,1.0,1.0,0.0,0.0,64,3844,jacobi-pcg,1e-08,True,116,0.00013770000077784061,0.007163099944591522,0.007300799945369363,7.1195407181813896e-09,0.3197669982910156,jacobi-pcg,True,1.3482632115238413
constant,constant,1.0,1.0,0.0,0.0,64,3844,amg-pcg,1e-08,True,8,0.12623519997578114,0.005385300028137863,0.131620500003919,3.318146298809925e-09,0.3197669982910156,jacobi-pcg,False,0.07478622236462933
constant,constant,1.0,1.0,0.0,0.0,128,15876,cg,1e-08,True,235,7.00005330145359e-07,0.1865931999636814,0.18659389996901155,9.50404988287223e-09,1.3266029357910156,amg-pcg,False,1.0
constant,constant,1.0,1.0,0.0,0.0,128,15876,jacobi-pcg,1e-08,True,235,0.00013860000763088465,0.20309790002647787,0.20323650003410876,9.504086634597289e-09,1.3266029357910156,amg-pcg,False,0.9181121498239533
constant,constant,1.0,1.0,0.0,0.0,128,15876,amg-pcg,1e-08,True,10,0.06589770002756268,0.029059700085781515,0.09495740011334419,9.207025983840692e-10,1.3266029357910156,amg-pcg,True,1.9650274728066175
constant,constant,1.0,1.0,0.0,0.0,256,64516,cg,1e-08,True,466,8.00006091594696e-07,0.6715439000399783,0.6715447000460699,9.709796185319237e-09,5.402774810791016,amg-pcg,False,1.0
constant,constant,1.0,1.0,0.0,0.0,256,64516,jacobi-pcg,1e-08,True,466,0.000969699933193624,0.8662092000013217,0.8671788999345154,9.709851023876624e-09,5.402774810791016,amg-pcg,False,0.7744015682309399
constant,constant,1.0,1.0,0.0,0.0,256,64516,amg-pcg,1e-08,True,9,0.2504771000239998,0.10912219993770123,0.35959929996170104,4.772598553180436e-09,5.402774810791016,amg-pcg,True,1.8674805543770316
smooth_c3,smooth,3.0,2.997515386722866,3.617291225628967,2.5451600517251203,64,3844,cg,1e-08,True,177,5.00003807246685e-07,0.01604849996510893,0.016048999968916178,9.584532107532514e-09,0.3197669982910156,jacobi-pcg,False,1.0
smooth_c3,smooth,3.0,2.997515386722866,3.617291225628967,2.5451600517251203,64,3844,jacobi-pcg,1e-08,True,146,0.00010569998994469643,0.01305730000603944,0.013162999995984137,8.36328337424542e-09,0.3197669982910156,jacobi-pcg,True,1.2192509286494357
