coefficient_case,family,n,best_method_by_median,best_method_vote,vote_fraction,n_repeats,cg_median_seconds,selected_median_seconds,median_speedup_vs_cg,selected_rel_iqr,decision_stable
checkerboard_c100,checkerboard,64,jacobi-pcg,jacobi-pcg,1.0,5,0.020847099949605763,0.008701800019480288,2.3957227128796794,0.030062747052950374,True
constant,constant,64,jacobi-pcg,cg,0.8,5,0.006193700013682246,0.006039200001396239,1.0255828606852377,0.3351602936159732,False
inclusion_c100,inclusion,64,jacobi-pcg,jacobi-pcg,1.0,5,0.039643900003284216,0.006963699939660728,5.692936276231292,0.08028777154972806,True
layered_c100,layered,64,jacobi-pcg,jacobi-pcg,1.0,5,0.05476430000271648,0.008512499975040555,6.433397963382147,0.06449337733916845,True
smooth_c30,smooth,64,jacobi-pcg,jacobi-pcg,1.0,5,0.011536299949511886,0.0073729000287130475,1.564689593590701,0.05334401427735729,True
checkerboard_c100,checkerboard,128,amg-pcg,amg-pcg,1.0,5,0.6371335000731051,0.09910029999446124,6.4291783184179545,0.03629958773300813,True
constant,constant,128,amg-pcg,amg-pcg,1.0,5,0.14517619996331632,0.07688050006981939,1.8883357916698496,0.014650009779625972,True
inclusion_c100,inclusion,128,amg-pcg,amg-pcg,1.0,5,1.2187300000805408,0.0822116999188438,14.8242890158411,0.019995936663926035,True
layered_c100,layered,128,amg-pcg,amg-pcg,1.0,5,1.4935757999774069,0.07760879991110414,19.244928431932994,0.034502532394909226,True
smooth_c30,smooth,128,amg-pcg,amg-pcg,1.0,5,0.3216901000123471,0.07850579998921603,4.097660300978222,0.016755449973983986,True
checkerboard_c100,checkerboard,256,amg-pcg,amg-pcg,1.0,5,2.549649800057523,0.2840445999754593,8.976230494358301,0.06633782138675859,True
constant,constant,256,amg-pcg,amg-pcg,1.0,5,0.5214187999954447,0.22510860010515898,2.3162988875230224,0.009547835801325146,True
inclusion_c100,inclusion,256,amg-pcg,amg-pcg,1.0,5,4.860944699961692,0.24491329991724342,19.84761424391494,0.004610203282498318,True
layered_c100,layered,256,amg-pcg,amg-pcg,1.0,5,5.589949700050056,0.2323861001059413,24.054578554834745,0.012479231596887939,True
smooth_c30,smooth,256,amg-pcg,amg-pcg,1.0,5,1.1825098999543115,0.23510189994703978,5.02977602571774,0.021535342844311016,True
